START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/28/14,12:05 PM,03:05 PM,Cubs at Angels,Tempe Diablo Stadium,"Local TV: FS-W ----- Local Radio: KLAA 830",02/28/14,02/28/14,03:05 PM,06:05 PM,FALSE,TRUE,02/28/14,11:05 AM,02:05 PM,FREE,BUSY
03/02/14,12:05 PM,03:05 PM,Athletics at Angels,Tempe Diablo Stadium,"Local TV: MLBN (delay) -- FS-W ----- Local Radio: KLAA 830",03/02/14,03/02/14,03:05 PM,06:05 PM,FALSE,TRUE,03/02/14,11:05 AM,02:05 PM,FREE,BUSY
03/04/14,12:05 PM,03:05 PM,Rangers at Angels,Tempe Diablo Stadium,"Local TV: FS-W ----- Local Radio: KLAA 830",03/04/14,03/04/14,03:05 PM,06:05 PM,FALSE,TRUE,03/04/14,11:05 AM,02:05 PM,FREE,BUSY
03/06/14,12:05 PM,03:05 PM,Dodgers at Angels,Tempe Diablo Stadium,"Local TV: MLBN (delay) -- PRIME ----- Local Radio: KLAA 830",03/06/14,03/06/14,03:05 PM,06:05 PM,FALSE,TRUE,03/06/14,11:05 AM,02:05 PM,FREE,BUSY
03/07/14,12:05 PM,03:05 PM,Cubs at Angels,Tempe Diablo Stadium,"Local TV: FS-W ----- Local Radio: KLAA 830",03/07/14,03/07/14,03:05 PM,06:05 PM,FALSE,TRUE,03/07/14,11:05 AM,02:05 PM,FREE,BUSY
03/08/14,12:05 PM,03:05 PM,D-backs at Angels,Tempe Diablo Stadium,"Local TV: FS-W ----- Local Radio: KLAA 830",03/08/14,03/08/14,03:05 PM,06:05 PM,FALSE,TRUE,03/08/14,11:05 AM,02:05 PM,FREE,BUSY
03/09/14,01:05 PM,04:05 PM,Reds at Angels,Tempe Diablo Stadium,"Local TV: MLBN -- PRIME ----- Local Radio: KLAA 830",03/09/14,03/09/14,04:05 PM,07:05 PM,FALSE,TRUE,03/09/14,12:05 PM,03:05 PM,FREE,BUSY
03/11/14,01:05 PM,04:05 PM,Mariners at Angels,Tempe Diablo Stadium,"Local TV: MLBN -- FS-W ----- Local Radio: KLAA 830",03/11/14,03/11/14,04:05 PM,07:05 PM,FALSE,TRUE,03/11/14,12:05 PM,03:05 PM,FREE,BUSY
03/12/14,01:05 PM,04:05 PM,Brewers at Angels,Tempe Diablo Stadium,"Local Radio: KLAA 830",03/12/14,03/12/14,04:05 PM,07:05 PM,FALSE,TRUE,03/12/14,12:05 PM,03:05 PM,FREE,BUSY
03/13/14,01:05 PM,04:05 PM,White Sox at Angels,Tempe Diablo Stadium,"Local TV: FS-W ----- Local Radio: KLAA 830",03/13/14,03/13/14,04:05 PM,07:05 PM,FALSE,TRUE,03/13/14,12:05 PM,03:05 PM,FREE,BUSY
