START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/01/14,01:05 PM,01:05 PM,Blue Jays at Orioles,Ed Smith Stadium,"Local TV: MASN ----- Local Radio: 1090 WBAL",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Twins at Orioles,Ed Smith Stadium,,03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Rays at Orioles,Ed Smith Stadium,,03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,01:05 PM,01:05 PM,Phillies at Orioles,Ed Smith Stadium,"Local TV: MASN",03/07/14,03/07/14,04:05 PM,04:05 PM,FALSE,TRUE,03/07/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium,"Local TV: MASN ----- Local Radio: 1090 WBAL",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium,"Local Radio: 1090 WBAL",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium,,03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Phillies at Orioles,Ed Smith Stadium,,03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,01:05 PM,01:05 PM,Yankees at Orioles,Ed Smith Stadium,"Local TV: MLBN -- MASN ----- Local Radio: 1090 WBAL",03/15/14,03/15/14,04:05 PM,04:05 PM,FALSE,TRUE,03/15/14,12:05 PM,12:05 PM,FREE,BUSY
03/17/14,07:05 PM,07:05 PM,Twins at Orioles,Ed Smith Stadium,"Local TV: MASN -- MLBN ----- Local Radio: 1090 WBAL",03/17/14,03/17/14,10:05 PM,10:05 PM,FALSE,TRUE,03/17/14,06:05 PM,06:05 PM,FREE,BUSY
