START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park,"Local Radio: WEEI 850",02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,03:33 AM,03:33 AM,Eagles at Red Sox,JetBlue Park,"Local Radio: WEEI 850",02/27/14,02/27/14,06:33 AM,06:33 AM,FALSE,TRUE,02/27/14,02:33 AM,02:33 AM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park,,02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park,,03/04/14,03/04/14,04:05 PM,04:05 PM,FALSE,TRUE,03/04/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,01:05 PM,01:05 PM,Braves at Red Sox,JetBlue Park,,03/07/14,03/07/14,04:05 PM,04:05 PM,FALSE,TRUE,03/07/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,07:05 PM,07:05 PM,Orioles at Red Sox,JetBlue Park,"Local Radio: WEEI 93.7",03/08/14,03/08/14,10:05 PM,10:05 PM,FALSE,TRUE,03/08/14,06:05 PM,06:05 PM,FREE,BUSY
03/10/14,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park,"Local TV: MLBN -- NESN",03/10/14,03/10/14,04:05 PM,04:05 PM,FALSE,TRUE,03/10/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Marlins at Red Sox,JetBlue Park,,03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,07:05 PM,07:05 PM,Phillies at Red Sox,JetBlue Park,"Local TV: NESN -- MLBN ----- Local Radio: WEEI 93.7",03/15/14,03/15/14,10:05 PM,10:05 PM,FALSE,TRUE,03/15/14,06:05 PM,06:05 PM,FREE,BUSY
