START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,03:05 PM,03:05 PM,Reds at Indians,Goodyear Ballpark,"Local TV: MLBN (delay) ----- Local Radio: WTAM 1100 -- MLB.com",02/26/14,02/26/14,06:05 PM,06:05 PM,FALSE,TRUE,02/26/14,02:05 PM,02:05 PM,FREE,BUSY
02/28/14,03:05 PM,03:05 PM,Reds at Indians,Goodyear Ballpark,"Local Radio: WMMS 100.7 -- MLB.com",02/28/14,02/28/14,06:05 PM,06:05 PM,FALSE,TRUE,02/28/14,02:05 PM,02:05 PM,FREE,BUSY
03/02/14,03:05 PM,03:05 PM,Mariners at Indians,Goodyear Ballpark,"Local Radio: WTAM 1100 -- MLB.com",03/02/14,03/02/14,06:05 PM,06:05 PM,FALSE,TRUE,03/02/14,02:05 PM,02:05 PM,FREE,BUSY
03/04/14,03:05 PM,03:05 PM,White Sox at Indians,Goodyear Ballpark,"Local Radio: MLB.com",03/04/14,03/04/14,06:05 PM,06:05 PM,FALSE,TRUE,03/04/14,02:05 PM,02:05 PM,FREE,BUSY
03/06/14,03:05 PM,03:05 PM,Cubs at Indians,Goodyear Ballpark,"Local Radio: MLB.com",03/06/14,03/06/14,06:05 PM,06:05 PM,FALSE,TRUE,03/06/14,02:05 PM,02:05 PM,FREE,BUSY
03/09/14,04:05 PM,04:05 PM,Brewers at Indians,Goodyear Ballpark,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100 -- MLB.com",03/09/14,03/09/14,07:05 PM,07:05 PM,FALSE,TRUE,03/09/14,03:05 PM,03:05 PM,FREE,BUSY
03/10/14,04:05 PM,04:05 PM,Angels at Indians,Goodyear Ballpark,"Local TV: SportsTime Ohio ----- Local Radio: MLB.com",03/10/14,03/10/14,07:05 PM,07:05 PM,FALSE,TRUE,03/10/14,03:05 PM,03:05 PM,FREE,BUSY
03/12/14,04:05 PM,04:05 PM,Padres at Indians,Goodyear Ballpark,"Local TV: SportsTime Ohio -- MLBN",03/12/14,03/12/14,07:05 PM,07:05 PM,FALSE,TRUE,03/12/14,03:05 PM,03:05 PM,FREE,BUSY
03/13/14,04:05 PM,04:05 PM,Royals at Indians,Goodyear Ballpark,"Local TV: SportsTime Ohio ----- Local Radio: MLB.com",03/13/14,03/13/14,07:05 PM,07:05 PM,FALSE,TRUE,03/13/14,03:05 PM,03:05 PM,FREE,BUSY
03/15/14,04:05 PM,04:05 PM,D-backs at Indians,Goodyear Ballpark,"Local Radio: MLB.com -- WTAM 1100",03/15/14,03/15/14,07:05 PM,07:05 PM,FALSE,TRUE,03/15/14,03:05 PM,03:05 PM,FREE,BUSY
03/18/14,10:05 PM,10:05 PM,Giants at Indians,Goodyear Ballpark,,03/19/14,03/19/14,01:05 AM,01:05 AM,FALSE,TRUE,03/18/14,09:05 PM,09:05 PM,FREE,BUSY
03/19/14,04:05 PM,04:05 PM,Athletics at Indians,Goodyear Ballpark,,03/19/14,03/19/14,07:05 PM,07:05 PM,FALSE,TRUE,03/19/14,03:05 PM,03:05 PM,FREE,BUSY
03/22/14,04:05 PM,04:05 PM,Rockies at Indians,Goodyear Ballpark,"Local Radio: WMMS 100.7 -- MLB.com",03/22/14,03/22/14,07:05 PM,07:05 PM,FALSE,TRUE,03/22/14,03:05 PM,03:05 PM,FREE,BUSY
03/25/14,04:05 PM,04:05 PM,Rangers at Indians,Goodyear Ballpark,"Local Radio: MLB.com",03/25/14,03/25/14,07:05 PM,07:05 PM,FALSE,TRUE,03/25/14,03:05 PM,03:05 PM,FREE,BUSY
03/26/14,04:05 PM,04:05 PM,Brewers at Indians,Goodyear Ballpark,"Local Radio: MLB.com",03/26/14,03/26/14,07:05 PM,07:05 PM,FALSE,TRUE,03/26/14,03:05 PM,03:05 PM,FREE,BUSY
04/04/14,03:05 PM,03:05 PM,Twins at Indians,Progressive Field,"Local TV: WKYC 3 -- SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/04/14,04/04/14,06:05 PM,06:05 PM,FALSE,TRUE,04/04/14,02:05 PM,02:05 PM,FREE,BUSY
04/05/14,01:05 PM,01:05 PM,Twins at Indians,Progressive Field,"Local TV: FS1 ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/05/14,04/05/14,04:05 PM,04:05 PM,FALSE,TRUE,04/05/14,12:05 PM,12:05 PM,FREE,BUSY
04/06/14,01:05 PM,01:05 PM,Twins at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/06/14,04/06/14,04:05 PM,04:05 PM,FALSE,TRUE,04/06/14,12:05 PM,12:05 PM,FREE,BUSY
04/08/14,07:05 PM,07:05 PM,Padres at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/08/14,04/08/14,10:05 PM,10:05 PM,FALSE,TRUE,04/08/14,06:05 PM,06:05 PM,FREE,BUSY
04/09/14,12:05 PM,12:05 PM,Padres at Indians,Progressive Field,"Local TV: SportsTime Ohio -- MLBN ----- Local Radio: WTAM 1100",04/09/14,04/09/14,03:05 PM,03:05 PM,FALSE,TRUE,04/09/14,11:05 AM,11:05 AM,FREE,BUSY
04/09/14,03:33 AM,03:33 AM,Padres at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/09/14,04/09/14,06:33 AM,06:33 AM,FALSE,TRUE,04/09/14,02:33 AM,02:33 AM,FREE,BUSY
04/18/14,07:05 PM,07:05 PM,Blue Jays at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/18/14,04/18/14,10:05 PM,10:05 PM,FALSE,TRUE,04/18/14,06:05 PM,06:05 PM,FREE,BUSY
04/19/14,01:05 PM,01:05 PM,Blue Jays at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/19/14,04/19/14,04:05 PM,04:05 PM,FALSE,TRUE,04/19/14,12:05 PM,12:05 PM,FREE,BUSY
04/20/14,01:05 PM,01:05 PM,Blue Jays at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/20/14,04/20/14,04:05 PM,04:05 PM,FALSE,TRUE,04/20/14,12:05 PM,12:05 PM,FREE,BUSY
04/21/14,07:05 PM,07:05 PM,Royals at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/21/14,04/21/14,10:05 PM,10:05 PM,FALSE,TRUE,04/21/14,06:05 PM,06:05 PM,FREE,BUSY
04/22/14,07:05 PM,07:05 PM,Royals at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/22/14,04/22/14,10:05 PM,10:05 PM,FALSE,TRUE,04/22/14,06:05 PM,06:05 PM,FREE,BUSY
04/23/14,07:05 PM,07:05 PM,Royals at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/23/14,04/23/14,10:05 PM,10:05 PM,FALSE,TRUE,04/23/14,06:05 PM,06:05 PM,FREE,BUSY
04/24/14,12:05 PM,12:05 PM,Royals at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100",04/24/14,04/24/14,03:05 PM,03:05 PM,FALSE,TRUE,04/24/14,11:05 AM,11:05 AM,FREE,BUSY
05/02/14,07:05 PM,07:05 PM,White Sox at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",05/02/14,05/02/14,10:05 PM,10:05 PM,FALSE,TRUE,05/02/14,06:05 PM,06:05 PM,FREE,BUSY
05/03/14,06:05 PM,06:05 PM,White Sox at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",05/03/14,05/03/14,09:05 PM,09:05 PM,FALSE,TRUE,05/03/14,05:05 PM,05:05 PM,FREE,BUSY
05/04/14,01:05 PM,01:05 PM,White Sox at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",05/04/14,05/04/14,04:05 PM,04:05 PM,FALSE,TRUE,05/04/14,12:05 PM,12:05 PM,FREE,BUSY
05/05/14,07:05 PM,07:05 PM,Twins at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",05/05/14,05/05/14,10:05 PM,10:05 PM,FALSE,TRUE,05/05/14,06:05 PM,06:05 PM,FREE,BUSY
05/06/14,07:05 PM,07:05 PM,Twins at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",05/06/14,05/06/14,10:05 PM,10:05 PM,FALSE,TRUE,05/06/14,06:05 PM,06:05 PM,FREE,BUSY
05/07/14,07:05 PM,07:05 PM,Twins at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",05/07/14,05/07/14,10:05 PM,10:05 PM,FALSE,TRUE,05/07/14,06:05 PM,06:05 PM,FREE,BUSY
