START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/01/14,02:05 PM,03:05 PM,Indians at White Sox,Camelback Ranch,"Local Radio: MLB.com",03/01/14,03/01/14,05:05 PM,06:05 PM,FALSE,TRUE,03/01/14,01:05 PM,02:05 PM,FREE,BUSY
03/03/14,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch,"Local Radio: MLB.com",03/03/14,03/03/14,05:05 PM,06:05 PM,FALSE,TRUE,03/03/14,01:05 PM,02:05 PM,FREE,BUSY
03/05/14,02:05 PM,03:05 PM,Padres at White Sox,Camelback Ranch,,03/05/14,03/05/14,05:05 PM,06:05 PM,FALSE,TRUE,03/05/14,01:05 PM,02:05 PM,FREE,BUSY
03/06/14,02:05 PM,03:05 PM,Mariners at White Sox,Camelback Ranch,,03/06/14,03/06/14,05:05 PM,06:05 PM,FALSE,TRUE,03/06/14,01:05 PM,02:05 PM,FREE,BUSY
03/08/14,02:05 PM,03:05 PM,D-backs at White Sox,Camelback Ranch,"Local Radio: MLB.com -- WSCR 670",03/08/14,03/08/14,05:05 PM,06:05 PM,FALSE,TRUE,03/08/14,01:05 PM,02:05 PM,FREE,BUSY
03/11/14,03:05 PM,04:05 PM,Rangers at White Sox,Camelback Ranch,,03/11/14,03/11/14,06:05 PM,07:05 PM,FALSE,TRUE,03/11/14,02:05 PM,03:05 PM,FREE,BUSY
03/14/14,03:05 PM,04:05 PM,Indians at White Sox,Camelback Ranch,"Local TV: CSN",03/14/14,03/14/14,06:05 PM,07:05 PM,FALSE,TRUE,03/14/14,02:05 PM,03:05 PM,FREE,BUSY
03/15/14,09:05 PM,10:05 PM,Dodgers at White Sox,Camelback Ranch,"Local TV: MLBN -- CSN ----- Local Radio: WSCR 670",03/16/14,03/16/14,12:05 AM,01:05 AM,FALSE,TRUE,03/15/14,08:05 PM,09:05 PM,FREE,BUSY
03/18/14,03:05 PM,04:05 PM,Athletics at White Sox,Camelback Ranch,"Local TV: CSN -- MLBN",03/18/14,03/18/14,06:05 PM,07:05 PM,FALSE,TRUE,03/18/14,02:05 PM,03:05 PM,FREE,BUSY
03/19/14,03:05 PM,04:05 PM,Angels at White Sox,Camelback Ranch,"Local TV: MLBN -- CSN",03/19/14,03/19/14,06:05 PM,07:05 PM,FALSE,TRUE,03/19/14,02:05 PM,03:05 PM,FREE,BUSY
03/21/14,03:05 PM,04:05 PM,Cubs at White Sox,Camelback Ranch,"Local TV: MLBN -- CSN ----- Local Radio: WSCR 670",03/21/14,03/21/14,06:05 PM,07:05 PM,FALSE,TRUE,03/21/14,02:05 PM,03:05 PM,FREE,BUSY
03/22/14,03:05 PM,04:05 PM,Giants at White Sox,Camelback Ranch,"Local TV: CSN ----- Local Radio: WSCR 670",03/22/14,03/22/14,06:05 PM,07:05 PM,FALSE,TRUE,03/22/14,02:05 PM,03:05 PM,FREE,BUSY
03/25/14,03:05 PM,04:05 PM,Rockies at White Sox,Camelback Ranch,,03/25/14,03/25/14,06:05 PM,07:05 PM,FALSE,TRUE,03/25/14,02:05 PM,03:05 PM,FREE,BUSY
03/26/14,03:05 PM,04:05 PM,Reds at White Sox,Camelback Ranch,"Local TV: MLBN -- CSN",03/26/14,03/26/14,06:05 PM,07:05 PM,FALSE,TRUE,03/26/14,02:05 PM,03:05 PM,FREE,BUSY
03/31/14,03:10 PM,04:10 PM,Twins at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",03/31/14,03/31/14,06:10 PM,07:10 PM,FALSE,TRUE,03/31/14,02:10 PM,03:10 PM,FREE,BUSY
04/02/14,01:10 PM,02:10 PM,Twins at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/02/14,04/02/14,04:10 PM,05:10 PM,FALSE,TRUE,04/02/14,12:10 PM,01:10 PM,FREE,BUSY
04/03/14,01:10 PM,02:10 PM,Twins at White Sox,U.S. Cellular Field,"Local TV: WGN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/03/14,04/03/14,04:10 PM,05:10 PM,FALSE,TRUE,04/03/14,12:10 PM,01:10 PM,FREE,BUSY
04/10/14,07:10 PM,08:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/10/14,04/10/14,10:10 PM,11:10 PM,FALSE,TRUE,04/10/14,06:10 PM,07:10 PM,FREE,BUSY
04/11/14,07:10 PM,08:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: WCIU ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/11/14,04/11/14,10:10 PM,11:10 PM,FALSE,TRUE,04/11/14,06:10 PM,07:10 PM,FREE,BUSY
04/12/14,01:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: WGN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/12/14,04/12/14,04:10 PM,05:10 PM,FALSE,TRUE,04/12/14,12:10 PM,01:10 PM,FREE,BUSY
04/13/14,01:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/13/14,04/13/14,04:10 PM,05:10 PM,FALSE,TRUE,04/13/14,12:10 PM,01:10 PM,FREE,BUSY
04/15/14,07:10 PM,08:10 PM,Red Sox at White Sox,U.S. Cellular Field,"Local TV: WCIU ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/15/14,04/15/14,10:10 PM,11:10 PM,FALSE,TRUE,04/15/14,06:10 PM,07:10 PM,FREE,BUSY
04/16/14,07:10 PM,08:10 PM,Red Sox at White Sox,U.S. Cellular Field,"Local TV: WCIU ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/16/14,04/16/14,10:10 PM,11:10 PM,FALSE,TRUE,04/16/14,06:10 PM,07:10 PM,FREE,BUSY
04/17/14,07:10 PM,08:10 PM,Red Sox at White Sox,U.S. Cellular Field,"Local TV: CSN+ ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/17/14,04/17/14,10:10 PM,11:10 PM,FALSE,TRUE,04/17/14,06:10 PM,07:10 PM,FREE,BUSY
04/25/14,07:10 PM,08:10 PM,Rays at White Sox,U.S. Cellular Field,"Local TV: WCIU ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/25/14,04/25/14,10:10 PM,11:10 PM,FALSE,TRUE,04/25/14,06:10 PM,07:10 PM,FREE,BUSY
04/26/14,06:10 PM,07:10 PM,Rays at White Sox,U.S. Cellular Field,"Local TV: MLBN -- CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/26/14,04/26/14,09:10 PM,10:10 PM,FALSE,TRUE,04/26/14,05:10 PM,06:10 PM,FREE,BUSY
04/27/14,01:10 PM,02:10 PM,Rays at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/27/14,04/27/14,04:10 PM,05:10 PM,FALSE,TRUE,04/27/14,12:10 PM,01:10 PM,FREE,BUSY
04/28/14,07:10 PM,08:10 PM,Rays at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/28/14,04/28/14,10:10 PM,11:10 PM,FALSE,TRUE,04/28/14,06:10 PM,07:10 PM,FREE,BUSY
04/29/14,07:10 PM,08:10 PM,Tigers at White Sox,U.S. Cellular Field,"Local TV: WCIU ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/29/14,04/29/14,10:10 PM,11:10 PM,FALSE,TRUE,04/29/14,06:10 PM,07:10 PM,FREE,BUSY
04/30/14,01:10 PM,02:10 PM,Tigers at White Sox,U.S. Cellular Field,"Local TV: WGN -- MLBN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",04/30/14,04/30/14,04:10 PM,05:10 PM,FALSE,TRUE,04/30/14,12:10 PM,01:10 PM,FREE,BUSY
05/07/14,07:10 PM,08:10 PM,Cubs at White Sox,U.S. Cellular Field,"Local TV: WCIU -- ESPN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/07/14,05/07/14,10:10 PM,11:10 PM,FALSE,TRUE,05/07/14,06:10 PM,07:10 PM,FREE,BUSY
05/08/14,07:10 PM,08:10 PM,Cubs at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/08/14,05/08/14,10:10 PM,11:10 PM,FALSE,TRUE,05/08/14,06:10 PM,07:10 PM,FREE,BUSY
05/09/14,07:10 PM,08:10 PM,D-backs at White Sox,U.S. Cellular Field,"Local TV: CSN+ ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/09/14,05/09/14,10:10 PM,11:10 PM,FALSE,TRUE,05/09/14,06:10 PM,07:10 PM,FREE,BUSY
05/10/14,06:10 PM,07:10 PM,D-backs at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/10/14,05/10/14,09:10 PM,10:10 PM,FALSE,TRUE,05/10/14,05:10 PM,06:10 PM,FREE,BUSY
05/11/14,01:10 PM,02:10 PM,D-backs at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/11/14,05/11/14,04:10 PM,05:10 PM,FALSE,TRUE,05/11/14,12:10 PM,01:10 PM,FREE,BUSY
05/22/14,07:10 PM,08:10 PM,Yankees at White Sox,U.S. Cellular Field,"Local TV: WCIU ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/22/14,05/22/14,10:10 PM,11:10 PM,FALSE,TRUE,05/22/14,06:10 PM,07:10 PM,FREE,BUSY
05/23/14,07:10 PM,08:10 PM,Yankees at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/23/14,05/23/14,10:10 PM,11:10 PM,FALSE,TRUE,05/23/14,06:10 PM,07:10 PM,FREE,BUSY
05/24/14,01:10 PM,02:10 PM,Yankees at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/24/14,05/24/14,04:10 PM,05:10 PM,FALSE,TRUE,05/24/14,12:10 PM,01:10 PM,FREE,BUSY
05/25/14,01:10 PM,02:10 PM,Yankees at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/25/14,05/25/14,04:10 PM,05:10 PM,FALSE,TRUE,05/25/14,12:10 PM,01:10 PM,FREE,BUSY
05/26/14,01:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: CSN ----- Local Radio: 97.5 ESPN Deportes -- WSCR 670",05/26/14,05/26/14,04:10 PM,05:10 PM,FALSE,TRUE,05/26/14,12:10 PM,01:10 PM,FREE,BUSY
