START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/25/14,01:05 PM,01:05 PM,Mocs at Tigers,Joker Marchant Stadium,,02/25/14,02/25/14,04:05 PM,04:05 PM,FALSE,TRUE,02/25/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,01:05 PM,01:05 PM,Braves at Tigers,Joker Marchant Stadium,,02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Yankees at Tigers,Joker Marchant Stadium,"Local Radio: WXYT 1270",02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/01/14,01:05 PM,01:05 PM,Astros at Tigers,Joker Marchant Stadium,"Local Radio: 97.1 The Ticket",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Cardinals at Tigers,Joker Marchant Stadium,"Local Radio: WXYT 1270",03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,01:05 PM,01:05 PM,Pirates at Tigers,Joker Marchant Stadium,"Local Radio: WXYT 1270",03/04/14,03/04/14,04:05 PM,04:05 PM,FALSE,TRUE,03/04/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Phillies at Tigers,Joker Marchant Stadium,,03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Mets at Tigers,Joker Marchant Stadium,"Local Radio: 97.1 The Ticket",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Blue Jays at Tigers,Joker Marchant Stadium,"Local Radio: WXYT 1270",03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Marlins at Tigers,Joker Marchant Stadium,"Local TV: FS-D",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Nationals at Tigers,Joker Marchant Stadium,"Local Radio: WXYT 1270",03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,01:05 PM,01:05 PM,Astros at Tigers,Joker Marchant Stadium,"Local Radio: 97.1 The Ticket",03/15/14,03/15/14,04:05 PM,04:05 PM,FALSE,TRUE,03/15/14,12:05 PM,12:05 PM,FREE,BUSY
03/17/14,01:05 PM,01:05 PM,Nationals at Tigers,Joker Marchant Stadium,"Local Radio: WXYT 1270",03/17/14,03/17/14,04:05 PM,04:05 PM,FALSE,TRUE,03/17/14,12:05 PM,12:05 PM,FREE,BUSY
03/18/14,01:05 PM,01:05 PM,Blue Jays at Tigers,Joker Marchant Stadium,"Local Radio: WXYT 1270",03/18/14,03/18/14,04:05 PM,04:05 PM,FALSE,TRUE,03/18/14,12:05 PM,12:05 PM,FREE,BUSY
03/23/14,01:05 PM,01:05 PM,Marlins at Tigers,Joker Marchant Stadium,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",03/23/14,03/23/14,04:05 PM,04:05 PM,FALSE,TRUE,03/23/14,12:05 PM,12:05 PM,FREE,BUSY
