START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/02/14,12:05 PM,01:05 PM,Braves at Astros,Osceola County Stadium,"Local Radio: KBME 790",03/02/14,03/02/14,03:05 PM,04:05 PM,FALSE,TRUE,03/02/14,11:05 AM,12:05 PM,FREE,BUSY
03/05/14,12:05 PM,01:05 PM,Tigers at Astros,Osceola County Stadium,"Local TV: CSN ----- Local Radio: KBME 790",03/05/14,03/05/14,03:05 PM,04:05 PM,FALSE,TRUE,03/05/14,11:05 AM,12:05 PM,FREE,BUSY
03/06/14,12:05 PM,01:05 PM,Mets at Astros,Osceola County Stadium,"Local TV: CSN ----- Local Radio: KBME 790",03/06/14,03/06/14,03:05 PM,04:05 PM,FALSE,TRUE,03/06/14,11:05 AM,12:05 PM,FREE,BUSY
03/08/14,12:05 PM,01:05 PM,Yankees at Astros,Osceola County Stadium,"Local TV: MLBN -- CSN ----- Local Radio: KBME 790",03/08/14,03/08/14,03:05 PM,04:05 PM,FALSE,TRUE,03/08/14,11:05 AM,12:05 PM,FREE,BUSY
03/09/14,12:05 PM,01:05 PM,Blue Jays at Astros,Osceola County Stadium,"Local TV: CSN ----- Local Radio: KBME 790",03/09/14,03/09/14,03:05 PM,04:05 PM,FALSE,TRUE,03/09/14,11:05 AM,12:05 PM,FREE,BUSY
03/12/14,12:05 PM,01:05 PM,Nationals at Astros,Osceola County Stadium,"Local TV: CSN ----- Local Radio: KBME 790",03/12/14,03/12/14,03:05 PM,04:05 PM,FALSE,TRUE,03/12/14,11:05 AM,12:05 PM,FREE,BUSY
03/14/14,12:05 PM,01:05 PM,Cardinals at Astros,Osceola County Stadium,"Local TV: MLBN -- CSN ----- Local Radio: KBME 790",03/14/14,03/14/14,03:05 PM,04:05 PM,FALSE,TRUE,03/14/14,11:05 AM,12:05 PM,FREE,BUSY
03/16/14,12:05 PM,01:05 PM,Nationals at Astros,Osceola County Stadium,"Local Radio: KBME 790",03/16/14,03/16/14,03:05 PM,04:05 PM,FALSE,TRUE,03/16/14,11:05 AM,12:05 PM,FREE,BUSY
03/17/14,12:05 PM,01:05 PM,Braves at Astros,Osceola County Stadium,"Local Radio: KBME 790",03/17/14,03/17/14,03:05 PM,04:05 PM,FALSE,TRUE,03/17/14,11:05 AM,12:05 PM,FREE,BUSY
03/20/14,12:05 PM,01:05 PM,Phillies at Astros,Osceola County Stadium,"Local TV: CSN ----- Local Radio: KBME 790",03/20/14,03/20/14,03:05 PM,04:05 PM,FALSE,TRUE,03/20/14,11:05 AM,12:05 PM,FREE,BUSY
