START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium,"Local Radio: KCSP 610 -- MLB.com",02/27/14,02/27/14,05:05 PM,06:05 PM,FALSE,TRUE,02/27/14,01:05 PM,02:05 PM,FREE,BUSY
03/01/14,02:05 PM,03:05 PM,Padres at Royals,Surprise Stadium,"Local Radio: MLB.com -- KCSP 610",03/01/14,03/01/14,05:05 PM,06:05 PM,FALSE,TRUE,03/01/14,01:05 PM,02:05 PM,FREE,BUSY
03/04/14,02:05 PM,03:05 PM,Reds at Royals,Surprise Stadium,"Local Radio: KCSP 610 -- MLB.com",03/04/14,03/04/14,05:05 PM,06:05 PM,FALSE,TRUE,03/04/14,01:05 PM,02:05 PM,FREE,BUSY
03/06/14,02:05 PM,03:05 PM,White Sox at Royals,Surprise Stadium,"Local Radio: MLB.com -- KCSP 610",03/06/14,03/06/14,05:05 PM,06:05 PM,FALSE,TRUE,03/06/14,01:05 PM,02:05 PM,FREE,BUSY
03/07/14,02:05 PM,03:05 PM,Giants at Royals,Surprise Stadium,"Local Radio: MLB.com -- KCSP 610",03/07/14,03/07/14,05:05 PM,06:05 PM,FALSE,TRUE,03/07/14,01:05 PM,02:05 PM,FREE,BUSY
03/09/14,03:05 PM,04:05 PM,Rockies at Royals,Surprise Stadium,"Local Radio: KCSP 610 -- MLB.com",03/09/14,03/09/14,06:05 PM,07:05 PM,FALSE,TRUE,03/09/14,02:05 PM,03:05 PM,FREE,BUSY
03/11/14,03:05 PM,04:05 PM,Dodgers at Royals,Surprise Stadium,"Local Radio: KCSP 610",03/11/14,03/11/14,06:05 PM,07:05 PM,FALSE,TRUE,03/11/14,02:05 PM,03:05 PM,FREE,BUSY
03/14/14,03:05 PM,04:05 PM,Athletics at Royals,Surprise Stadium,"Local Radio: MLB.com",03/14/14,03/14/14,06:05 PM,07:05 PM,FALSE,TRUE,03/14/14,02:05 PM,03:05 PM,FREE,BUSY
03/15/14,03:05 PM,04:05 PM,Cubs at Royals,Surprise Stadium,"Local Radio: MLB.com",03/15/14,03/15/14,06:05 PM,07:05 PM,FALSE,TRUE,03/15/14,02:05 PM,03:05 PM,FREE,BUSY
03/17/14,08:05 PM,09:05 PM,Rangers at Royals,Surprise Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610",03/17/14,03/18/14,11:05 PM,12:05 AM,FALSE,TRUE,03/17/14,07:05 PM,08:05 PM,FREE,BUSY
03/19/14,08:05 PM,09:05 PM,Reds at Royals,Surprise Stadium,"Local Radio: KCSP 610",03/19/14,03/20/14,11:05 PM,12:05 AM,FALSE,TRUE,03/19/14,07:05 PM,08:05 PM,FREE,BUSY
03/20/14,03:05 PM,04:05 PM,Angels at Royals,Surprise Stadium,"Local TV: MLBN ----- Local Radio: MLB.com",03/20/14,03/20/14,06:05 PM,07:05 PM,FALSE,TRUE,03/20/14,02:05 PM,03:05 PM,FREE,BUSY
03/22/14,03:05 PM,04:05 PM,Rangers at Royals,Surprise Stadium,"Local TV: MLBN ----- Local Radio: KCSP 610",03/22/14,03/22/14,06:05 PM,07:05 PM,FALSE,TRUE,03/22/14,02:05 PM,03:05 PM,FREE,BUSY
03/25/14,08:05 PM,09:05 PM,Mariners at Royals,Surprise Stadium,"Local TV: FSKC -- MLBN (delay) ----- Local Radio: KCSP 610 -- MLB.com",03/25/14,03/26/14,11:05 PM,12:05 AM,FALSE,TRUE,03/25/14,07:05 PM,08:05 PM,FREE,BUSY
04/04/14,03:10 PM,04:10 PM,White Sox at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",04/04/14,04/04/14,06:10 PM,07:10 PM,FALSE,TRUE,04/04/14,02:10 PM,03:10 PM,FREE,BUSY
04/05/14,01:10 PM,02:10 PM,White Sox at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: Royals Radio Network -- KCSP 610",04/05/14,04/05/14,04:10 PM,05:10 PM,FALSE,TRUE,04/05/14,12:10 PM,01:10 PM,FREE,BUSY
04/06/14,01:10 PM,02:10 PM,White Sox at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",04/06/14,04/06/14,04:10 PM,05:10 PM,FALSE,TRUE,04/06/14,12:10 PM,01:10 PM,FREE,BUSY
04/07/14,07:10 PM,08:10 PM,Rays at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",04/07/14,04/07/14,10:10 PM,11:10 PM,FALSE,TRUE,04/07/14,06:10 PM,07:10 PM,FREE,BUSY
04/08/14,07:10 PM,08:10 PM,Rays at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",04/08/14,04/08/14,10:10 PM,11:10 PM,FALSE,TRUE,04/08/14,06:10 PM,07:10 PM,FREE,BUSY
04/09/14,01:10 PM,02:10 PM,Rays at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",04/09/14,04/09/14,04:10 PM,05:10 PM,FALSE,TRUE,04/09/14,12:10 PM,01:10 PM,FREE,BUSY
04/18/14,07:10 PM,08:10 PM,Twins at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: Royals Radio Network -- KCSP 610",04/18/14,04/18/14,10:10 PM,11:10 PM,FALSE,TRUE,04/18/14,06:10 PM,07:10 PM,FREE,BUSY
04/19/14,01:10 PM,02:10 PM,Twins at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",04/19/14,04/19/14,04:10 PM,05:10 PM,FALSE,TRUE,04/19/14,12:10 PM,01:10 PM,FREE,BUSY
04/20/14,01:10 PM,02:10 PM,Twins at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",04/20/14,04/20/14,04:10 PM,05:10 PM,FALSE,TRUE,04/20/14,12:10 PM,01:10 PM,FREE,BUSY
04/29/14,07:10 PM,08:10 PM,Blue Jays at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: Royals Radio Network -- KCSP 610",04/29/14,04/29/14,10:10 PM,11:10 PM,FALSE,TRUE,04/29/14,06:10 PM,07:10 PM,FREE,BUSY
04/30/14,07:10 PM,08:10 PM,Blue Jays at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: Royals Radio Network -- KCSP 610",04/30/14,04/30/14,10:10 PM,11:10 PM,FALSE,TRUE,04/30/14,06:10 PM,07:10 PM,FREE,BUSY
05/01/14,07:10 PM,08:10 PM,Blue Jays at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",05/01/14,05/01/14,10:10 PM,11:10 PM,FALSE,TRUE,05/01/14,06:10 PM,07:10 PM,FREE,BUSY
05/02/14,07:10 PM,08:10 PM,Tigers at Royals,Kauffman Stadium,"Local TV: FSKC ----- Local Radio: KCSP 610 -- Royals Radio Network",05/02/14,05/02/14,10:10 PM,11:10 PM,FALSE,TRUE,05/02/14,06:10 PM,07:10 PM,FREE,BUSY
05/03/14,06:10 PM,07:10 PM,Tigers at Royals,Kauffman Stadium,"Local TV: FS1 ----- Local Radio: Royals Radio Network -- KCSP 610",05/03/14,05/03/14,09:10 PM,10:10 PM,FALSE,TRUE,05/03/14,05:10 PM,06:10 PM,FREE,BUSY
