START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/01/14,12:05 PM,01:05 PM,Red Sox at Twins,Hammond Stadium,"Local TV: MLBN (delay) -- FS-N ----- Local Radio: 96.3 K-TWIN -- TIBN",03/01/14,03/01/14,03:05 PM,04:05 PM,FALSE,TRUE,03/01/14,11:05 AM,12:05 PM,FREE,BUSY
03/03/14,12:05 PM,01:05 PM,Blue Jays at Twins,Hammond Stadium,"Local TV: FS-N ----- Local Radio: 96.3 K-TWIN -- TIBN",03/03/14,03/03/14,03:05 PM,04:05 PM,FALSE,TRUE,03/03/14,11:05 AM,12:05 PM,FREE,BUSY
03/05/14,06:05 PM,07:05 PM,Orioles at Twins,Hammond Stadium,"Local TV: FS-N+ ----- Local Radio: 96.3 K-TWIN -- TIBN",03/05/14,03/05/14,09:05 PM,10:05 PM,FALSE,TRUE,03/05/14,05:05 PM,06:05 PM,FREE,BUSY
03/06/14,12:05 PM,01:05 PM,Cardinals at Twins,Hammond Stadium,"Local TV: FS-N ----- Local Radio: 96.3 K-TWIN -- TIBN",03/06/14,03/06/14,03:05 PM,04:05 PM,FALSE,TRUE,03/06/14,11:05 AM,12:05 PM,FREE,BUSY
03/09/14,12:05 PM,01:05 PM,Phillies at Twins,Hammond Stadium,"Local TV: FS-N ----- Local Radio: 96.3 K-TWIN -- TIBN",03/09/14,03/09/14,03:05 PM,04:05 PM,FALSE,TRUE,03/09/14,11:05 AM,12:05 PM,FREE,BUSY
03/12/14,12:05 PM,01:05 PM,Pirates at Twins,Hammond Stadium,"Local TV: FS-N ----- Local Radio: 96.3 K-TWIN -- TIBN",03/12/14,03/12/14,03:05 PM,04:05 PM,FALSE,TRUE,03/12/14,11:05 AM,12:05 PM,FREE,BUSY
03/13/14,12:05 PM,01:05 PM,Red Sox at Twins,Hammond Stadium,"Local TV: FS-N -- MLBN ----- Local Radio: 96.3 K-TWIN -- TIBN",03/13/14,03/13/14,03:05 PM,04:05 PM,FALSE,TRUE,03/13/14,11:05 AM,12:05 PM,FREE,BUSY
03/14/14,12:05 PM,01:05 PM,Orioles at Twins,Hammond Stadium,"Local Radio: 96.3 K-TWIN -- TIBN",03/14/14,03/14/14,03:05 PM,04:05 PM,FALSE,TRUE,03/14/14,11:05 AM,12:05 PM,FREE,BUSY
03/16/14,12:05 PM,01:05 PM,Marlins at Twins,Hammond Stadium,"Local TV: FS-N ----- Local Radio: 96.3 K-TWIN -- TIBN",03/16/14,03/16/14,03:05 PM,04:05 PM,FALSE,TRUE,03/16/14,11:05 AM,12:05 PM,FREE,BUSY
03/18/14,06:05 PM,07:05 PM,Rays at Twins,Hammond Stadium,"Local TV: FS-N+ ----- Local Radio: 96.3 K-TWIN -- TIBN",03/18/14,03/18/14,09:05 PM,10:05 PM,FALSE,TRUE,03/18/14,05:05 PM,06:05 PM,FREE,BUSY
