START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/25/14,01:05 PM,01:05 PM,Seminoles at Yankees,George M. Steinbrenner Field,,02/25/14,02/25/14,04:05 PM,04:05 PM,FALSE,TRUE,02/25/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field,"Local TV: MLBN (delay) -- YES ----- Local Radio: WFAN 660/101.9 FM",02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
03/01/14,01:05 PM,01:05 PM,Phillies at Yankees,George M. Steinbrenner Field,"Local TV: MLBN -- YES",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Nationals at Yankees,George M. Steinbrenner Field,"Local TV: MLBN -- YES",03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,07:05 PM,07:05 PM,Orioles at Yankees,George M. Steinbrenner Field,"Local TV: MLBN -- YES",03/04/14,03/04/14,10:05 PM,10:05 PM,FALSE,TRUE,03/04/14,06:05 PM,06:05 PM,FREE,BUSY
03/07/14,07:05 PM,07:05 PM,Tigers at Yankees,George M. Steinbrenner Field,,03/07/14,03/07/14,10:05 PM,10:05 PM,FALSE,TRUE,03/07/14,06:05 PM,06:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Rays at Yankees,George M. Steinbrenner Field,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field,"Local TV: YES -- MLBN",03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Orioles at Yankees,George M. Steinbrenner Field,"Local TV: YES",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Twins at Yankees,George M. Steinbrenner Field,"Local TV: YES",03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,09:05 PM,09:05 PM,Marlins at Yankees,Rod Carew Stadium,,03/16/14,03/16/14,12:05 AM,12:05 AM,FALSE,TRUE,03/15/14,08:05 PM,08:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Braves at Yankees,George M. Steinbrenner Field,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
03/18/14,01:05 PM,01:05 PM,Red Sox at Yankees,George M. Steinbrenner Field,"Local TV: ESPN -- YES ----- Local Radio: WFAN 660/101.9 FM",03/18/14,03/18/14,04:05 PM,04:05 PM,FALSE,TRUE,03/18/14,12:05 PM,12:05 PM,FREE,BUSY
03/21/14,07:05 PM,07:05 PM,Pirates at Yankees,George M. Steinbrenner Field,"Local TV: MLBN",03/21/14,03/21/14,10:05 PM,10:05 PM,FALSE,TRUE,03/21/14,06:05 PM,06:05 PM,FREE,BUSY
03/23/14,01:05 PM,01:05 PM,Blue Jays at Yankees,George M. Steinbrenner Field,"Local TV: MLBN -- YES ----- Local Radio: WFAN 660/101.9 FM",03/23/14,03/23/14,04:05 PM,04:05 PM,FALSE,TRUE,03/23/14,12:05 PM,12:05 PM,FREE,BUSY
