START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,12:05 PM,03:05 PM,Padres at Mariners,Peoria Stadium,"Local Radio: 710 ESPN",02/27/14,02/27/14,03:05 PM,06:05 PM,FALSE,TRUE,02/27/14,11:05 AM,02:05 PM,FREE,BUSY
03/01/14,12:05 PM,03:05 PM,Angels at Mariners,Peoria Stadium,"Local TV: MLBN (delay) ----- Local Radio: 710 ESPN",03/01/14,03/01/14,03:05 PM,06:05 PM,FALSE,TRUE,03/01/14,11:05 AM,02:05 PM,FREE,BUSY
03/03/14,12:05 PM,03:05 PM,Rockies at Mariners,Peoria Stadium,"Local Radio: 710 ESPN (delay)",03/03/14,03/03/14,03:05 PM,06:05 PM,FALSE,TRUE,03/03/14,11:05 AM,02:05 PM,FREE,BUSY
03/05/14,12:05 PM,03:05 PM,Indians at Mariners,Peoria Stadium,"Local Radio: 710 ESPN (delay)",03/05/14,03/05/14,03:05 PM,06:05 PM,FALSE,TRUE,03/05/14,11:05 AM,02:05 PM,FREE,BUSY
03/07/14,12:05 PM,03:05 PM,Reds at Mariners,Peoria Stadium,"Local Radio: 710 ESPN",03/07/14,03/07/14,03:05 PM,06:05 PM,FALSE,TRUE,03/07/14,11:05 AM,02:05 PM,FREE,BUSY
03/09/14,01:05 PM,04:05 PM,Rangers at Mariners,Peoria Stadium,"Local Radio: 710 ESPN",03/09/14,03/09/14,04:05 PM,07:05 PM,FALSE,TRUE,03/09/14,12:05 PM,03:05 PM,FREE,BUSY
03/10/14,01:05 PM,04:05 PM,Royals at Mariners,Peoria Stadium,,03/10/14,03/10/14,04:05 PM,07:05 PM,FALSE,TRUE,03/10/14,12:05 PM,03:05 PM,FREE,BUSY
03/12/14,07:05 PM,10:05 PM,Cubs at Mariners,Peoria Stadium,"Local TV: MLBN -- ROOT SPORTS ----- Local Radio: 710 ESPN",03/12/14,03/13/14,10:05 PM,01:05 AM,FALSE,TRUE,03/12/14,06:05 PM,09:05 PM,FREE,BUSY
03/15/14,01:05 PM,04:05 PM,Giants at Mariners,Peoria Stadium,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",03/15/14,03/15/14,04:05 PM,07:05 PM,FALSE,TRUE,03/15/14,12:05 PM,03:05 PM,FREE,BUSY
03/18/14,07:05 PM,10:05 PM,Padres at Mariners,Peoria Stadium,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",03/18/14,03/19/14,10:05 PM,01:05 AM,FALSE,TRUE,03/18/14,06:05 PM,09:05 PM,FREE,BUSY
03/19/14,01:05 PM,04:05 PM,Brewers at Mariners,Peoria Stadium,"Local Radio: 710 ESPN (delay)",03/19/14,03/19/14,04:05 PM,07:05 PM,FALSE,TRUE,03/19/14,12:05 PM,03:05 PM,FREE,BUSY
03/21/14,07:05 PM,10:05 PM,Padres at Mariners,Peoria Stadium,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",03/21/14,03/22/14,10:05 PM,01:05 AM,FALSE,TRUE,03/21/14,06:05 PM,09:05 PM,FREE,BUSY
03/23/14,01:05 PM,04:05 PM,Athletics at Mariners,Peoria Stadium,"Local Radio: 710 ESPN",03/23/14,03/23/14,04:05 PM,07:05 PM,FALSE,TRUE,03/23/14,12:05 PM,03:05 PM,FREE,BUSY
03/24/14,01:05 PM,04:05 PM,White Sox at Mariners,Peoria Stadium,"Local Radio: 710 ESPN (delay)",03/24/14,03/24/14,04:05 PM,07:05 PM,FALSE,TRUE,03/24/14,12:05 PM,03:05 PM,FREE,BUSY
03/28/14,07:05 PM,10:05 PM,Rockies at Mariners,Peoria Stadium,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",03/28/14,03/29/14,10:05 PM,01:05 AM,FALSE,TRUE,03/28/14,06:05 PM,09:05 PM,FREE,BUSY
04/08/14,07:10 PM,10:10 PM,Angels at Mariners,Safeco Field,"Local TV: ROOT SPORTS (Sp.) -- ROOT SPORTS -- MLBN ----- Local Radio: 710 ESPN",04/08/14,04/09/14,10:10 PM,01:10 AM,FALSE,TRUE,04/08/14,06:10 PM,09:10 PM,FREE,BUSY
04/09/14,07:10 PM,10:10 PM,Angels at Mariners,Safeco Field,"Local TV: ROOT SPORTS (Sp.) -- ROOT SPORTS ----- Local Radio: 710 ESPN",04/09/14,04/10/14,10:10 PM,01:10 AM,FALSE,TRUE,04/09/14,06:10 PM,09:10 PM,FREE,BUSY
04/11/14,07:10 PM,10:10 PM,Athletics at Mariners,Safeco Field,"Local TV: ROOT SPORTS (Sp.) -- ROOT SPORTS ----- Local Radio: 710 ESPN",04/11/14,04/12/14,10:10 PM,01:10 AM,FALSE,TRUE,04/11/14,06:10 PM,09:10 PM,FREE,BUSY
04/12/14,06:10 PM,09:10 PM,Athletics at Mariners,Safeco Field,"Local TV: ROOT SPORTS (Sp.) -- ROOT SPORTS ----- Local Radio: 710 ESPN",04/12/14,04/13/14,09:10 PM,12:10 AM,FALSE,TRUE,04/12/14,05:10 PM,08:10 PM,FREE,BUSY
04/13/14,01:10 PM,04:10 PM,Athletics at Mariners,Safeco Field,"Local TV: ROOT SPORTS -- ROOT SPORTS (Sp.) ----- Local Radio: 710 ESPN",04/13/14,04/13/14,04:10 PM,07:10 PM,FALSE,TRUE,04/13/14,12:10 PM,03:10 PM,FREE,BUSY
04/21/14,07:10 PM,10:10 PM,Astros at Mariners,Safeco Field,"Local TV: ROOT SPORTS -- ROOT SPORTS (Sp.) ----- Local Radio: 710 ESPN",04/21/14,04/22/14,10:10 PM,01:10 AM,FALSE,TRUE,04/21/14,06:10 PM,09:10 PM,FREE,BUSY
04/22/14,07:10 PM,10:10 PM,Astros at Mariners,Safeco Field,"Local TV: ROOT SPORTS (Sp.) -- ROOT SPORTS ----- Local Radio: 710 ESPN",04/22/14,04/23/14,10:10 PM,01:10 AM,FALSE,TRUE,04/22/14,06:10 PM,09:10 PM,FREE,BUSY
04/23/14,12:40 PM,03:40 PM,Astros at Mariners,Safeco Field,"Local TV: ROOT SPORTS (Sp.) -- ROOT SPORTS ----- Local Radio: 710 ESPN",04/23/14,04/23/14,03:40 PM,06:40 PM,FALSE,TRUE,04/23/14,11:40 AM,02:40 PM,FREE,BUSY
04/25/14,07:10 PM,10:10 PM,Rangers at Mariners,Safeco Field,"Local TV: ROOT SPORTS -- ROOT SPORTS (Sp.) ----- Local Radio: 710 ESPN",04/25/14,04/26/14,10:10 PM,01:10 AM,FALSE,TRUE,04/25/14,06:10 PM,09:10 PM,FREE,BUSY
