START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/28/14,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park,,02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Twins at Rays,Charlotte Sports Park,"Local Radio: WDAE 620 AM /95.3 FM",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park,"Local Radio: MLB.com",03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Yankees at Rays,Charlotte Sports Park,"Local Radio: MLB.com",03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park,"Local Radio: WDAE 620 AM /95.3 FM",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Twins at Rays,Charlotte Sports Park,"Local Radio: MLB.com",03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park,"Local Radio: MLB.com",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,01:05 PM,01:05 PM,Blue Jays at Rays,Charlotte Sports Park,"Local Radio: WDAE 620 AM /95.3 FM",03/15/14,03/15/14,04:05 PM,04:05 PM,FALSE,TRUE,03/15/14,12:05 PM,12:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park,"Local TV: Sun Sports ----- Local Radio: WDAE 620 AM /95.3 FM",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
03/20/14,07:05 PM,07:05 PM,Twins at Rays,Charlotte Sports Park,"Local Radio: WDAE 620 AM /95.3 FM",03/20/14,03/20/14,10:05 PM,10:05 PM,FALSE,TRUE,03/20/14,06:05 PM,06:05 PM,FREE,BUSY
03/21/14,01:05 PM,01:05 PM,Blue Jays at Rays,Charlotte Sports Park,"Local Radio: MLB.com",03/21/14,03/21/14,04:05 PM,04:05 PM,FALSE,TRUE,03/21/14,12:05 PM,12:05 PM,FREE,BUSY
03/22/14,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park,"Local Radio: WDAE 620 AM /95.3 FM",03/22/14,03/22/14,04:05 PM,04:05 PM,FALSE,TRUE,03/22/14,12:05 PM,12:05 PM,FREE,BUSY
03/25/14,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park,"Local TV: Sun Sports ----- Local Radio: MLB.com",03/25/14,03/25/14,04:05 PM,04:05 PM,FALSE,TRUE,03/25/14,12:05 PM,12:05 PM,FREE,BUSY
03/26/14,07:05 PM,07:05 PM,Orioles at Rays,Charlotte Sports Park,"Local TV: MLBN -- Sun Sports ----- Local Radio: WDAE 620 AM /95.3 FM",03/26/14,03/26/14,10:05 PM,10:05 PM,FALSE,TRUE,03/26/14,06:05 PM,06:05 PM,FREE,BUSY
03/31/14,04:10 PM,04:10 PM,Blue Jays at Rays,Tropicana Field,"Local TV: Sun Sports ----- Local Radio: WDAE 620 AM /95.3 FM -- WGES 680",03/31/14,03/31/14,07:10 PM,07:10 PM,FALSE,TRUE,03/31/14,03:10 PM,03:10 PM,FREE,BUSY
04/01/14,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field,"Local TV: Sun Sports -- MLBN ----- Local Radio: WDAE 620 AM /95.3 FM -- WGES 680",04/01/14,04/01/14,10:10 PM,10:10 PM,FALSE,TRUE,04/01/14,06:10 PM,06:10 PM,FREE,BUSY
04/02/14,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field,"Local TV: Sun Sports ----- Local Radio: WGES 680 -- WDAE 620 AM /95.3 FM",04/02/14,04/02/14,10:10 PM,10:10 PM,FALSE,TRUE,04/02/14,06:10 PM,06:10 PM,FREE,BUSY
04/03/14,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field,"Local TV: MLBN -- Sun Sports ----- Local Radio: WGES 680 -- WDAE 620 AM /95.3 FM",04/03/14,04/03/14,10:10 PM,10:10 PM,FALSE,TRUE,04/03/14,06:10 PM,06:10 PM,FREE,BUSY
04/04/14,07:10 PM,07:10 PM,Rangers at Rays,Tropicana Field,"Local TV: Sun Sports ----- Local Radio: WGES 680 -- WDAE 620 AM /95.3 FM",04/04/14,04/04/14,10:10 PM,10:10 PM,FALSE,TRUE,04/04/14,06:10 PM,06:10 PM,FREE,BUSY
04/05/14,07:10 PM,07:10 PM,Rangers at Rays,Tropicana Field,"Local TV: Sun Sports ----- Local Radio: WDAE 620 AM /95.3 FM -- WGES 680",04/05/14,04/05/14,10:10 PM,10:10 PM,FALSE,TRUE,04/05/14,06:10 PM,06:10 PM,FREE,BUSY
