START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/28/14,02:05 PM,03:05 PM,Royals at Rangers,Surprise Stadium,"Local Radio: MLB.com",02/28/14,02/28/14,05:05 PM,06:05 PM,FALSE,TRUE,02/28/14,01:05 PM,02:05 PM,FREE,BUSY
03/02/14,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium,"Local Radio: 103.3 ESPN",03/02/14,03/02/14,05:05 PM,06:05 PM,FALSE,TRUE,03/02/14,01:05 PM,02:05 PM,FREE,BUSY
03/03/14,02:05 PM,03:05 PM,Indians at Rangers,Surprise Stadium,"Local Radio: MLB.com",03/03/14,03/03/14,05:05 PM,06:05 PM,FALSE,TRUE,03/03/14,01:05 PM,02:05 PM,FREE,BUSY
03/05/14,02:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium,"Local Radio: MLB.com",03/05/14,03/05/14,05:05 PM,06:05 PM,FALSE,TRUE,03/05/14,01:05 PM,02:05 PM,FREE,BUSY
03/08/14,02:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium,"Local Radio: 103.3 ESPN",03/08/14,03/08/14,05:05 PM,06:05 PM,FALSE,TRUE,03/08/14,01:05 PM,02:05 PM,FREE,BUSY
03/10/14,03:05 PM,04:05 PM,Reds at Rangers,Surprise Stadium,"Local Radio: 103.3 ESPN",03/10/14,03/10/14,06:05 PM,07:05 PM,FALSE,TRUE,03/10/14,02:05 PM,03:05 PM,FREE,BUSY
03/12/14,03:05 PM,04:05 PM,Angels at Rangers,Surprise Stadium,"Local Radio: MLB.com",03/12/14,03/12/14,06:05 PM,07:05 PM,FALSE,TRUE,03/12/14,02:05 PM,03:05 PM,FREE,BUSY
03/13/14,08:05 PM,09:05 PM,Giants at Rangers,Surprise Stadium,"Local TV: FSSW ----- Local Radio: 103.3 ESPN",03/13/14,03/14/14,11:05 PM,12:05 AM,FALSE,TRUE,03/13/14,07:05 PM,08:05 PM,FREE,BUSY
03/16/14,03:05 PM,04:05 PM,White Sox at Rangers,Surprise Stadium,"Local TV: MLBN (delay) -- TXA-21 HD ----- Local Radio: MLB.com",03/16/14,03/16/14,06:05 PM,07:05 PM,FALSE,TRUE,03/16/14,02:05 PM,03:05 PM,FREE,BUSY
03/18/14,09:05 PM,10:05 PM,Cubs at Rangers,Surprise Stadium,"Local TV: MLBN -- FSSW ----- Local Radio: 103.3 ESPN",03/19/14,03/19/14,12:05 AM,01:05 AM,FALSE,TRUE,03/18/14,08:05 PM,09:05 PM,FREE,BUSY
03/21/14,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium,"Local Radio: MLB.com",03/21/14,03/21/14,06:05 PM,07:05 PM,FALSE,TRUE,03/21/14,02:05 PM,03:05 PM,FREE,BUSY
03/23/14,03:05 PM,04:05 PM,Padres at Rangers,Surprise Stadium,"Local TV: TXA-21 HD ----- Local Radio: MLB.com",03/23/14,03/23/14,06:05 PM,07:05 PM,FALSE,TRUE,03/23/14,02:05 PM,03:05 PM,FREE,BUSY
03/24/14,03:05 PM,04:05 PM,Athletics at Rangers,Surprise Stadium,"Local TV: TXA-21 HD",03/24/14,03/24/14,06:05 PM,07:05 PM,FALSE,TRUE,03/24/14,02:05 PM,03:05 PM,FREE,BUSY
03/26/14,02:05 PM,03:05 PM,Mariners at Rangers,Surprise Stadium,,03/26/14,03/26/14,05:05 PM,06:05 PM,FALSE,TRUE,03/26/14,01:05 PM,02:05 PM,FREE,BUSY
03/27/14,07:05 PM,08:05 PM,Tigres at Rangers,Globe Life Park in Arlington,"Local TV: TXA-21 HD ----- Local Radio: 1540am ESPN Deportes",03/27/14,03/27/14,10:05 PM,11:05 PM,FALSE,TRUE,03/27/14,06:05 PM,07:05 PM,FREE,BUSY
03/28/14,07:05 PM,08:05 PM,Astros at Rangers,Alamodome,"Local TV: TXA-21 HD ----- Local Radio: 103.3 ESPN -- 1540am ESPN Deportes",03/28/14,03/28/14,10:05 PM,11:05 PM,FALSE,TRUE,03/28/14,06:05 PM,07:05 PM,FREE,BUSY
03/29/14,01:05 PM,02:05 PM,Astros at Rangers,Alamodome,"Local TV: TXA-21 HD ----- Local Radio: 103.3 ESPN -- 1540am ESPN Deportes",03/29/14,03/29/14,04:05 PM,05:05 PM,FALSE,TRUE,03/29/14,12:05 PM,01:05 PM,FREE,BUSY
03/31/14,01:05 PM,02:05 PM,Phillies at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: Rangers Radio Network -- 103.3 ESPN -- 1540am ESPN Deportes",03/31/14,03/31/14,04:05 PM,05:05 PM,FALSE,TRUE,03/31/14,12:05 PM,01:05 PM,FREE,BUSY
04/01/14,07:05 PM,08:05 PM,Phillies at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: 103.3 ESPN -- Rangers Radio Network -- 1540am ESPN Deportes",04/01/14,04/01/14,10:05 PM,11:05 PM,FALSE,TRUE,04/01/14,06:05 PM,07:05 PM,FREE,BUSY
04/02/14,07:05 PM,08:05 PM,Phillies at Rangers,Globe Life Park in Arlington,"Local TV: FSSW -- ESPN2 ----- Local Radio: 103.3 ESPN -- Rangers Radio Network -- 1540am ESPN Deportes",04/02/14,04/02/14,10:05 PM,11:05 PM,FALSE,TRUE,04/02/14,06:05 PM,07:05 PM,FREE,BUSY
04/11/14,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington,"Local TV: TXA-21 ----- Local Radio: Rangers Radio Network -- 103.3 ESPN -- 1540am ESPN Deportes",04/11/14,04/11/14,10:05 PM,11:05 PM,FALSE,TRUE,04/11/14,06:05 PM,07:05 PM,FREE,BUSY
04/12/14,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington,"Local TV: MLBN -- FSSW ----- Local Radio: Rangers Radio Network -- 103.3 ESPN -- 1540am ESPN Deportes",04/12/14,04/12/14,10:05 PM,11:05 PM,FALSE,TRUE,04/12/14,06:05 PM,07:05 PM,FREE,BUSY
04/13/14,02:05 PM,03:05 PM,Astros at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: Rangers Radio Network -- 103.3 ESPN -- 1540am ESPN Deportes",04/13/14,04/13/14,05:05 PM,06:05 PM,FALSE,TRUE,04/13/14,01:05 PM,02:05 PM,FREE,BUSY
04/14/14,07:05 PM,08:05 PM,Mariners at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: 103.3 ESPN -- Rangers Radio Network -- 1540am ESPN Deportes",04/14/14,04/14/14,10:05 PM,11:05 PM,FALSE,TRUE,04/14/14,06:05 PM,07:05 PM,FREE,BUSY
04/15/14,07:05 PM,08:05 PM,Mariners at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: 103.3 ESPN -- Rangers Radio Network -- 1540am ESPN Deportes",04/15/14,04/15/14,10:05 PM,11:05 PM,FALSE,TRUE,04/15/14,06:05 PM,07:05 PM,FREE,BUSY
04/16/14,07:05 PM,08:05 PM,Mariners at Rangers,Globe Life Park in Arlington,"Local TV: FSSW+ ----- Local Radio: 1540am ESPN Deportes -- KLIF 570",04/16/14,04/16/14,10:05 PM,11:05 PM,FALSE,TRUE,04/16/14,06:05 PM,07:05 PM,FREE,BUSY
04/17/14,01:05 PM,02:05 PM,Mariners at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: Rangers Radio Network -- 103.3 ESPN -- 1540am ESPN Deportes",04/17/14,04/17/14,04:05 PM,05:05 PM,FALSE,TRUE,04/17/14,12:05 PM,01:05 PM,FREE,BUSY
04/18/14,07:05 PM,08:05 PM,White Sox at Rangers,Globe Life Park in Arlington,"Local TV: TXA-21 ----- Local Radio: Rangers Radio Network -- 103.3 ESPN -- 1540am ESPN Deportes",04/18/14,04/18/14,10:05 PM,11:05 PM,FALSE,TRUE,04/18/14,06:05 PM,07:05 PM,FREE,BUSY
04/19/14,07:05 PM,08:05 PM,White Sox at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: 103.3 ESPN -- Rangers Radio Network -- 1540am ESPN Deportes",04/19/14,04/19/14,10:05 PM,11:05 PM,FALSE,TRUE,04/19/14,06:05 PM,07:05 PM,FREE,BUSY
04/20/14,02:05 PM,03:05 PM,White Sox at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: Rangers Radio Network -- 1540am ESPN Deportes -- KLIF 570",04/20/14,04/20/14,05:05 PM,06:05 PM,FALSE,TRUE,04/20/14,01:05 PM,02:05 PM,FREE,BUSY
04/28/14,07:05 PM,08:05 PM,Athletics at Rangers,Globe Life Park in Arlington,"Local TV: ESPN -- FSSW ----- Local Radio: Rangers Radio Network -- KLIF 570 -- 1540am ESPN Deportes",04/28/14,04/28/14,10:05 PM,11:05 PM,FALSE,TRUE,04/28/14,06:05 PM,07:05 PM,FREE,BUSY
04/29/14,07:05 PM,08:05 PM,Athletics at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: 103.3 ESPN -- Rangers Radio Network -- 1540am ESPN Deportes",04/29/14,04/29/14,10:05 PM,11:05 PM,FALSE,TRUE,04/29/14,06:05 PM,07:05 PM,FREE,BUSY
04/30/14,07:05 PM,08:05 PM,Athletics at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: Rangers Radio Network -- KLIF 570 -- 1540am ESPN Deportes",04/30/14,04/30/14,10:05 PM,11:05 PM,FALSE,TRUE,04/30/14,06:05 PM,07:05 PM,FREE,BUSY
05/07/14,07:05 PM,08:05 PM,Rockies at Rangers,Globe Life Park in Arlington,"Local TV: FSSW ----- Local Radio: Rangers Radio Network -- 103.3 ESPN -- 1540am ESPN Deportes",05/07/14,05/07/14,10:05 PM,11:05 PM,FALSE,TRUE,05/07/14,06:05 PM,07:05 PM,FREE,BUSY
