START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,01:05 PM,01:05 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium,"Local TV: MLBN -- SNET-1 ----- Local Radio: MLB.com",02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Pirates at Blue Jays,Florida Auto Exchange Stadium,"Local TV: SNET ----- Local Radio: MLB.com",02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Yankees at Blue Jays,Florida Auto Exchange Stadium,"Local TV: MLBN (delay) ----- Local Radio: SN590",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Pirates at Blue Jays,Florida Auto Exchange Stadium,"Local Radio: MLB.com",03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,01:05 PM,01:05 PM,Rays at Blue Jays,Florida Auto Exchange Stadium,"Local TV: MLBN -- SNET ----- Local Radio: MLB.com",03/07/14,03/07/14,04:05 PM,04:05 PM,FALSE,TRUE,03/07/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Twins at Blue Jays,Florida Auto Exchange Stadium,"Local TV: SNET ----- Local Radio: SN590",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Canada Jr. Team at Blue Jays,Rogers Centre,,03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Rays at Blue Jays,Florida Auto Exchange Stadium,"Local Radio: SN590",03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Astros at Blue Jays,Florida Auto Exchange Stadium,"Local Radio: SN590",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Red Sox at Blue Jays,Florida Auto Exchange Stadium,"Local Radio: SN590",03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Orioles at Blue Jays,Florida Auto Exchange Stadium,"Local TV: SNET ----- Local Radio: SN590",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
03/19/14,01:05 PM,01:05 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium,"Local TV: SNET-1 ----- Local Radio: MLB.com",03/19/14,03/19/14,04:05 PM,04:05 PM,FALSE,TRUE,03/19/14,12:05 PM,12:05 PM,FREE,BUSY
03/22/14,01:05 PM,01:05 PM,Tigers at Blue Jays,Florida Auto Exchange Stadium,"Local TV: SN ----- Local Radio: SN590",03/22/14,03/22/14,04:05 PM,04:05 PM,FALSE,TRUE,03/22/14,12:05 PM,12:05 PM,FREE,BUSY
03/24/14,01:05 PM,01:05 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium,"Local TV: SNET ----- Local Radio: MLB.com",03/24/14,03/24/14,04:05 PM,04:05 PM,FALSE,TRUE,03/24/14,12:05 PM,12:05 PM,FREE,BUSY
03/26/14,01:05 PM,01:05 PM,Yankees at Blue Jays,Florida Auto Exchange Stadium,"Local TV: SNET ----- Local Radio: MLB.com",03/26/14,03/26/14,04:05 PM,04:05 PM,FALSE,TRUE,03/26/14,12:05 PM,12:05 PM,FREE,BUSY
03/28/14,07:05 PM,07:05 PM,Mets at Blue Jays,Olympic Stadium,"Local TV: SNET -- MLBN ----- Local Radio: SN590",03/28/14,03/28/14,10:05 PM,10:05 PM,FALSE,TRUE,03/28/14,06:05 PM,06:05 PM,FREE,BUSY
03/29/14,01:05 PM,01:05 PM,Mets at Blue Jays,Olympic Stadium,"Local TV: SNET -- MLBN ----- Local Radio: SN590",03/29/14,03/29/14,04:05 PM,04:05 PM,FALSE,TRUE,03/29/14,12:05 PM,12:05 PM,FREE,BUSY
04/04/14,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre,"Local TV: TVA Sports -- SNET -- MLBN ----- Local Radio: SN590",04/04/14,04/04/14,10:07 PM,10:07 PM,FALSE,TRUE,04/04/14,06:07 PM,06:07 PM,FREE,BUSY
04/05/14,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre,"Local TV: TVA Sports -- SNET ----- Local Radio: SN590",04/05/14,04/05/14,04:07 PM,04:07 PM,FALSE,TRUE,04/05/14,12:07 PM,12:07 PM,FREE,BUSY
04/06/14,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre,"Local TV: SNET -- MLBN -- TVA Sports ----- Local Radio: SN590",04/06/14,04/06/14,04:07 PM,04:07 PM,FALSE,TRUE,04/06/14,12:07 PM,12:07 PM,FREE,BUSY
04/08/14,07:07 PM,07:07 PM,Astros at Blue Jays,Rogers Centre,"Local TV: SNET-1 ----- Local Radio: SN590",04/08/14,04/08/14,10:07 PM,10:07 PM,FALSE,TRUE,04/08/14,06:07 PM,06:07 PM,FREE,BUSY
04/09/14,07:07 PM,07:07 PM,Astros at Blue Jays,Rogers Centre,"Local TV: SNET -- ESPN2 ----- Local Radio: SN590",04/09/14,04/09/14,10:07 PM,10:07 PM,FALSE,TRUE,04/09/14,06:07 PM,06:07 PM,FREE,BUSY
04/10/14,07:07 PM,07:07 PM,Astros at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",04/10/14,04/10/14,10:07 PM,10:07 PM,FALSE,TRUE,04/10/14,06:07 PM,06:07 PM,FREE,BUSY
04/22/14,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",04/22/14,04/22/14,10:07 PM,10:07 PM,FALSE,TRUE,04/22/14,06:07 PM,06:07 PM,FREE,BUSY
04/23/14,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre,"Local TV: SNET -- TVA Sports ----- Local Radio: SN590",04/23/14,04/23/14,10:07 PM,10:07 PM,FALSE,TRUE,04/23/14,06:07 PM,06:07 PM,FREE,BUSY
04/24/14,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre,"Local TV: TVA Sports -- SNET -- MLBN ----- Local Radio: SN590",04/24/14,04/24/14,10:07 PM,10:07 PM,FALSE,TRUE,04/24/14,06:07 PM,06:07 PM,FREE,BUSY
04/25/14,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre,"Local TV: SNET-1 ----- Local Radio: SN590",04/25/14,04/25/14,10:07 PM,10:07 PM,FALSE,TRUE,04/25/14,06:07 PM,06:07 PM,FREE,BUSY
04/26/14,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",04/26/14,04/26/14,04:07 PM,04:07 PM,FALSE,TRUE,04/26/14,12:07 PM,12:07 PM,FREE,BUSY
04/27/14,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",04/27/14,04/27/14,04:07 PM,04:07 PM,FALSE,TRUE,04/27/14,12:07 PM,12:07 PM,FREE,BUSY
05/07/14,07:07 PM,07:07 PM,Phillies at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",05/07/14,05/07/14,10:07 PM,10:07 PM,FALSE,TRUE,05/07/14,06:07 PM,06:07 PM,FREE,BUSY
05/08/14,07:07 PM,07:07 PM,Phillies at Blue Jays,Rogers Centre,"Local TV: SNET -- MLBN ----- Local Radio: SN590",05/08/14,05/08/14,10:07 PM,10:07 PM,FALSE,TRUE,05/08/14,06:07 PM,06:07 PM,FREE,BUSY
05/09/14,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,"Local TV: SNET-1 ----- Local Radio: SN590",05/09/14,05/09/14,10:07 PM,10:07 PM,FALSE,TRUE,05/09/14,06:07 PM,06:07 PM,FREE,BUSY
05/10/14,01:07 PM,01:07 PM,Angels at Blue Jays,Rogers Centre,"Local TV: SNET -- MLBN ----- Local Radio: SN590",05/10/14,05/10/14,04:07 PM,04:07 PM,FALSE,TRUE,05/10/14,12:07 PM,12:07 PM,FREE,BUSY
05/11/14,01:07 PM,01:07 PM,Angels at Blue Jays,Rogers Centre,"Local TV: SNET -- TVA Sports ----- Local Radio: SN590",05/11/14,05/11/14,04:07 PM,04:07 PM,FALSE,TRUE,05/11/14,12:07 PM,12:07 PM,FREE,BUSY
05/12/14,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,"Local TV: TVA Sports -- SNET ----- Local Radio: SN590",05/12/14,05/12/14,10:07 PM,10:07 PM,FALSE,TRUE,05/12/14,06:07 PM,06:07 PM,FREE,BUSY
05/13/14,07:07 PM,07:07 PM,Indians at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",05/13/14,05/13/14,10:07 PM,10:07 PM,FALSE,TRUE,05/13/14,06:07 PM,06:07 PM,FREE,BUSY
05/14/14,07:07 PM,07:07 PM,Indians at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",05/14/14,05/14/14,10:07 PM,10:07 PM,FALSE,TRUE,05/14/14,06:07 PM,06:07 PM,FREE,BUSY
05/15/14,07:07 PM,07:07 PM,Indians at Blue Jays,Rogers Centre,"Local TV: MLBN -- SNET ----- Local Radio: SN590",05/15/14,05/15/14,10:07 PM,10:07 PM,FALSE,TRUE,05/15/14,06:07 PM,06:07 PM,FREE,BUSY
05/23/14,07:07 PM,07:07 PM,Athletics at Blue Jays,Rogers Centre,"Local TV: SNET-1 ----- Local Radio: SN590",05/23/14,05/23/14,10:07 PM,10:07 PM,FALSE,TRUE,05/23/14,06:07 PM,06:07 PM,FREE,BUSY
05/24/14,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre,"Local TV: MLBN -- SNET-1 ----- Local Radio: SN590",05/24/14,05/24/14,04:07 PM,04:07 PM,FALSE,TRUE,05/24/14,12:07 PM,12:07 PM,FREE,BUSY
05/25/14,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",05/25/14,05/25/14,04:07 PM,04:07 PM,FALSE,TRUE,05/25/14,12:07 PM,12:07 PM,FREE,BUSY
05/26/14,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre,"Local TV: TVA Sports -- SNET ----- Local Radio: SN590",05/26/14,05/26/14,10:07 PM,10:07 PM,FALSE,TRUE,05/26/14,06:07 PM,06:07 PM,FREE,BUSY
05/27/14,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre,"Local TV: SNET ----- Local Radio: SN590",05/27/14,05/27/14,10:07 PM,10:07 PM,FALSE,TRUE,05/27/14,06:07 PM,06:07 PM,FREE,BUSY
