START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,01:10 PM,03:10 PM,Dodgers at D-backs,Salt River Fields at Talking Stick,"Local TV: MLBN (delay) ----- Local Radio: Arizona Sports 98.7 FM",02/26/14,02/26/14,04:10 PM,06:10 PM,FALSE,TRUE,02/26/14,12:10 PM,02:10 PM,FREE,BUSY
02/28/14,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick,,02/28/14,02/28/14,04:10 PM,06:10 PM,FALSE,TRUE,02/28/14,12:10 PM,02:10 PM,FREE,BUSY
03/01/14,01:10 PM,03:10 PM,Brewers at D-backs,Salt River Fields at Talking Stick,"Local Radio: Arizona Sports 98.7 FM",03/01/14,03/01/14,04:10 PM,06:10 PM,FALSE,TRUE,03/01/14,12:10 PM,02:10 PM,FREE,BUSY
03/01/14,07:10 PM,09:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick,,03/01/14,03/02/14,10:10 PM,12:10 AM,FALSE,TRUE,03/01/14,06:10 PM,08:10 PM,FREE,BUSY
03/03/14,01:10 PM,03:10 PM,Angels at D-backs,Salt River Fields at Talking Stick,,03/03/14,03/03/14,04:10 PM,06:10 PM,FALSE,TRUE,03/03/14,12:10 PM,02:10 PM,FREE,BUSY
03/03/14,07:10 PM,09:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick,"Local Radio: Arizona Sports 98.7 FM",03/03/14,03/04/14,10:10 PM,12:10 AM,FALSE,TRUE,03/03/14,06:10 PM,08:10 PM,FREE,BUSY
03/05/14,01:10 PM,03:10 PM,Royals at D-backs,Salt River Fields at Talking Stick,"Local TV: MLBN (delay) -- FS-A ----- Local Radio: MLB.com",03/05/14,03/05/14,04:10 PM,06:10 PM,FALSE,TRUE,03/05/14,12:10 PM,02:10 PM,FREE,BUSY
03/06/14,01:10 PM,03:10 PM,Athletics at D-backs,Salt River Fields at Talking Stick,"Local Radio: MLB.com",03/06/14,03/06/14,04:10 PM,06:10 PM,FALSE,TRUE,03/06/14,12:10 PM,02:10 PM,FREE,BUSY
03/09/14,01:10 PM,04:10 PM,Padres at D-backs,Salt River Fields at Talking Stick,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM -- KSUN La Mejor 1400",03/09/14,03/09/14,04:10 PM,07:10 PM,FALSE,TRUE,03/09/14,12:10 PM,03:10 PM,FREE,BUSY
03/10/14,07:10 PM,10:10 PM,Mariners at D-backs,Salt River Fields at Talking Stick,,03/10/14,03/11/14,10:10 PM,01:10 AM,FALSE,TRUE,03/10/14,06:10 PM,09:10 PM,FREE,BUSY
03/11/14,01:10 PM,04:10 PM,Indians at D-backs,Salt River Fields at Talking Stick,"Local TV: FS-A",03/11/14,03/11/14,04:10 PM,07:10 PM,FALSE,TRUE,03/11/14,12:10 PM,03:10 PM,FREE,BUSY
03/13/14,01:10 PM,04:10 PM,Mariners at D-backs,Salt River Fields at Talking Stick,"Local Radio: MLB.com",03/13/14,03/13/14,04:10 PM,07:10 PM,FALSE,TRUE,03/13/14,12:10 PM,03:10 PM,FREE,BUSY
03/16/14,01:10 PM,04:10 PM,Brewers at D-backs,Salt River Fields at Talking Stick,"Local Radio: Arizona Sports 98.7 FM",03/16/14,03/16/14,04:10 PM,07:10 PM,FALSE,TRUE,03/16/14,12:10 PM,03:10 PM,FREE,BUSY
03/22/14,01:00 AM,04:00 AM,Dodgers at D-backs,Sydney Cricket Ground,"Local TV: MLBN -- FS-A ----- Local Radio: Arizona Sports 98.7 FM -- KSUN La Mejor 1400",03/22/14,03/22/14,04:00 AM,07:00 AM,FALSE,TRUE,03/22/14,12:00 AM,03:00 AM,FREE,BUSY
