START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,01:05 PM,01:05 PM,Tigers at Braves,Champion Stadium,"Local Radio: WIFN 1340 -- WFOM 1230",02/26/14,02/26/14,04:05 PM,04:05 PM,FALSE,TRUE,02/26/14,12:05 PM,12:05 PM,FREE,BUSY
02/28/14,06:05 PM,06:05 PM,Astros at Braves,Champion Stadium,"Local Radio: WFOM 1230 -- WIFN 1340",02/28/14,02/28/14,09:05 PM,09:05 PM,FALSE,TRUE,02/28/14,05:05 PM,05:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Tigers at Braves,Champion Stadium,"Local Radio: WCNN 680/93.7",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Mets at Braves,Champion Stadium,"Local Radio: WFOM 1230 -- WIFN 1340",03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,01:05 PM,01:05 PM,Nationals at Braves,Champion Stadium,"Local Radio: WIFN 1340 -- WFOM 1230",03/04/14,03/04/14,04:05 PM,04:05 PM,FALSE,TRUE,03/04/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,06:05 PM,06:05 PM,Nationals at Braves,Champion Stadium,"Local Radio: WFOM 1230 -- WIFN 1340",03/06/14,03/06/14,09:05 PM,09:05 PM,FALSE,TRUE,03/06/14,05:05 PM,05:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Marlins at Braves,Champion Stadium,"Local Radio: WCNN 680/93.7",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Phillies at Braves,Champion Stadium,"Local Radio: WIFN 1340 -- WFOM 1230",03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Nationals at Braves,Champion Stadium,"Local Radio: WFOM 1230 -- WIFN 1340",03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,01:05 PM,01:05 PM,Rays at Braves,Champion Stadium,"Local Radio: WIFN 1340 -- WFOM 1230",03/14/14,03/14/14,04:05 PM,04:05 PM,FALSE,TRUE,03/14/14,12:05 PM,12:05 PM,FREE,BUSY
03/15/14,01:05 PM,01:05 PM,Cardinals at Braves,Champion Stadium,"Local Radio: WCNN 680/93.7",03/15/14,03/15/14,04:05 PM,04:05 PM,FALSE,TRUE,03/15/14,12:05 PM,12:05 PM,FREE,BUSY
03/19/14,01:05 PM,01:05 PM,Yankees at Braves,Champion Stadium,"Local Radio: WFOM 1230 -- WIFN 1340",03/19/14,03/19/14,04:05 PM,04:05 PM,FALSE,TRUE,03/19/14,12:05 PM,12:05 PM,FREE,BUSY
03/21/14,01:05 PM,01:05 PM,Tigers at Braves,Champion Stadium,"Local TV: SPSO ----- Local Radio: WFOM 1230 -- WIFN 1340",03/21/14,03/21/14,04:05 PM,04:05 PM,FALSE,TRUE,03/21/14,12:05 PM,12:05 PM,FREE,BUSY
03/22/14,01:05 PM,01:05 PM,Red Sox at Braves,Champion Stadium,"Local TV: SPSO ----- Local Radio: WCNN 680/93.7",03/22/14,03/22/14,04:05 PM,04:05 PM,FALSE,TRUE,03/22/14,12:05 PM,12:05 PM,FREE,BUSY
03/23/14,01:05 PM,01:05 PM,Mets at Braves,Champion Stadium,"Local TV: FSSO ----- Local Radio: WCNN 680/93.7",03/23/14,03/23/14,04:05 PM,04:05 PM,FALSE,TRUE,03/23/14,12:05 PM,12:05 PM,FREE,BUSY
03/24/14,06:05 PM,06:05 PM,Astros at Braves,Champion Stadium,"Local TV: FSSO -- MLBN (delay) ----- Local Radio: WIFN 1340 -- WFOM 1230",03/24/14,03/24/14,09:05 PM,09:05 PM,FALSE,TRUE,03/24/14,05:05 PM,05:05 PM,FREE,BUSY
03/26/14,01:05 PM,01:05 PM,Marlins at Braves,Champion Stadium,"Local Radio: WIFN 1340 -- WFOM 1230",03/26/14,03/26/14,04:05 PM,04:05 PM,FALSE,TRUE,03/26/14,12:05 PM,12:05 PM,FREE,BUSY
03/29/14,02:05 PM,02:05 PM,Braves Futures at Braves,Turner Field,"Local Radio: WCNN 680/93.7",03/29/14,03/29/14,05:05 PM,05:05 PM,FALSE,TRUE,03/29/14,01:05 PM,01:05 PM,FREE,BUSY
04/08/14,07:10 PM,07:10 PM,Mets at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network -- WLBA 1130",04/08/14,04/08/14,10:10 PM,10:10 PM,FALSE,TRUE,04/08/14,06:10 PM,06:10 PM,FREE,BUSY
04/09/14,07:10 PM,07:10 PM,Mets at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",04/09/14,04/09/14,10:10 PM,10:10 PM,FALSE,TRUE,04/09/14,06:10 PM,06:10 PM,FREE,BUSY
04/10/14,07:10 PM,07:10 PM,Mets at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",04/10/14,04/10/14,10:10 PM,10:10 PM,FALSE,TRUE,04/10/14,06:10 PM,06:10 PM,FREE,BUSY
04/11/14,07:35 PM,07:35 PM,Nationals at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",04/11/14,04/11/14,10:35 PM,10:35 PM,FALSE,TRUE,04/11/14,06:35 PM,06:35 PM,FREE,BUSY
04/12/14,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",04/12/14,04/12/14,10:10 PM,10:10 PM,FALSE,TRUE,04/12/14,06:10 PM,06:10 PM,FREE,BUSY
04/13/14,01:35 PM,01:35 PM,Nationals at Braves,Turner Field,"Local TV: FSSO -- MLBN ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7 -- WLBA 1130",04/13/14,04/13/14,04:35 PM,04:35 PM,FALSE,TRUE,04/13/14,12:35 PM,12:35 PM,FREE,BUSY
04/21/14,07:10 PM,07:10 PM,Marlins at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",04/21/14,04/21/14,10:10 PM,10:10 PM,FALSE,TRUE,04/21/14,06:10 PM,06:10 PM,FREE,BUSY
04/22/14,07:10 PM,07:10 PM,Marlins at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",04/22/14,04/22/14,10:10 PM,10:10 PM,FALSE,TRUE,04/22/14,06:10 PM,06:10 PM,FREE,BUSY
04/23/14,12:10 PM,12:10 PM,Marlins at Braves,Turner Field,"Local TV: SPSO -- MLBN ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",04/23/14,04/23/14,03:10 PM,03:10 PM,FALSE,TRUE,04/23/14,11:10 AM,11:10 AM,FREE,BUSY
04/25/14,07:35 PM,07:35 PM,Reds at Braves,Turner Field,"Local TV: MLBN -- FSSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",04/25/14,04/25/14,10:35 PM,10:35 PM,FALSE,TRUE,04/25/14,06:35 PM,06:35 PM,FREE,BUSY
04/26/14,07:10 PM,07:10 PM,Reds at Braves,Turner Field,"Local TV: MLBN -- FSSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",04/26/14,04/26/14,10:10 PM,10:10 PM,FALSE,TRUE,04/26/14,06:10 PM,06:10 PM,FREE,BUSY
04/27/14,01:35 PM,01:35 PM,Reds at Braves,Turner Field,"Local TV: MLBN -- FSSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network -- WLBA 1130",04/27/14,04/27/14,04:35 PM,04:35 PM,FALSE,TRUE,04/27/14,12:35 PM,12:35 PM,FREE,BUSY
05/02/14,07:35 PM,07:35 PM,Giants at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",05/02/14,05/02/14,10:35 PM,10:35 PM,FALSE,TRUE,05/02/14,06:35 PM,06:35 PM,FREE,BUSY
05/03/14,07:10 PM,07:10 PM,Giants at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",05/03/14,05/03/14,10:10 PM,10:10 PM,FALSE,TRUE,05/03/14,06:10 PM,06:10 PM,FREE,BUSY
05/04/14,01:35 PM,01:35 PM,Giants at Braves,Turner Field,"Local TV: MLBN -- FSSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network -- WLBA 1130",05/04/14,05/04/14,04:35 PM,04:35 PM,FALSE,TRUE,05/04/14,12:35 PM,12:35 PM,FREE,BUSY
05/05/14,07:10 PM,07:10 PM,Cardinals at Braves,Turner Field,"Local TV: ESPN -- SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",05/05/14,05/05/14,10:10 PM,10:10 PM,FALSE,TRUE,05/05/14,06:10 PM,06:10 PM,FREE,BUSY
05/06/14,07:10 PM,07:10 PM,Cardinals at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",05/06/14,05/06/14,10:10 PM,10:10 PM,FALSE,TRUE,05/06/14,06:10 PM,06:10 PM,FREE,BUSY
05/07/14,07:10 PM,07:10 PM,Cardinals at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",05/07/14,05/07/14,10:10 PM,10:10 PM,FALSE,TRUE,05/07/14,06:10 PM,06:10 PM,FREE,BUSY
05/09/14,07:35 PM,07:35 PM,Cubs at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network -- WLBA 1130",05/09/14,05/09/14,10:35 PM,10:35 PM,FALSE,TRUE,05/09/14,06:35 PM,06:35 PM,FREE,BUSY
05/10/14,07:10 PM,07:10 PM,Cubs at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",05/10/14,05/10/14,10:10 PM,10:10 PM,FALSE,TRUE,05/10/14,06:10 PM,06:10 PM,FREE,BUSY
05/11/14,01:35 PM,01:35 PM,Cubs at Braves,Turner Field,"Local TV: MLBN -- FSSO ----- Local Radio: Braves Radio Network -- WLBA 1130 -- WCNN 680/WYAY 106.7",05/11/14,05/11/14,04:35 PM,04:35 PM,FALSE,TRUE,05/11/14,12:35 PM,12:35 PM,FREE,BUSY
05/19/14,07:10 PM,07:10 PM,Brewers at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",05/19/14,05/19/14,10:10 PM,10:10 PM,FALSE,TRUE,05/19/14,06:10 PM,06:10 PM,FREE,BUSY
05/20/14,07:10 PM,07:10 PM,Brewers at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",05/20/14,05/20/14,10:10 PM,10:10 PM,FALSE,TRUE,05/20/14,06:10 PM,06:10 PM,FREE,BUSY
05/21/14,07:10 PM,07:10 PM,Brewers at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",05/21/14,05/21/14,10:10 PM,10:10 PM,FALSE,TRUE,05/21/14,06:10 PM,06:10 PM,FREE,BUSY
05/22/14,07:10 PM,07:10 PM,Brewers at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",05/22/14,05/22/14,10:10 PM,10:10 PM,FALSE,TRUE,05/22/14,06:10 PM,06:10 PM,FREE,BUSY
05/23/14,07:35 PM,07:35 PM,Rockies at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",05/23/14,05/23/14,10:35 PM,10:35 PM,FALSE,TRUE,05/23/14,06:35 PM,06:35 PM,FREE,BUSY
05/24/14,04:10 PM,04:10 PM,Rockies at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",05/24/14,05/24/14,07:10 PM,07:10 PM,FALSE,TRUE,05/24/14,03:10 PM,03:10 PM,FREE,BUSY
05/25/14,05:10 PM,05:10 PM,Rockies at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: WLBA 1130 -- WCNN 680/WYAY 106.7 -- Braves Radio Network",05/25/14,05/25/14,08:10 PM,08:10 PM,FALSE,TRUE,05/25/14,04:10 PM,04:10 PM,FREE,BUSY
05/26/14,01:10 PM,01:10 PM,Red Sox at Braves,Turner Field,"Local TV: ESPN -- SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network -- WLBA 1130",05/26/14,05/26/14,04:10 PM,04:10 PM,FALSE,TRUE,05/26/14,12:10 PM,12:10 PM,FREE,BUSY
05/27/14,07:10 PM,07:10 PM,Red Sox at Braves,Turner Field,"Local TV: SPSO -- ESPN ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",05/27/14,05/27/14,10:10 PM,10:10 PM,FALSE,TRUE,05/27/14,06:10 PM,06:10 PM,FREE,BUSY
06/03/14,07:10 PM,07:10 PM,Mariners at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",06/03/14,06/03/14,10:10 PM,10:10 PM,FALSE,TRUE,06/03/14,06:10 PM,06:10 PM,FREE,BUSY
06/04/14,12:10 PM,12:10 PM,Mariners at Braves,Turner Field,"Local TV: SPSO -- MLBN ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7 -- WLBA 1130",06/04/14,06/04/14,03:10 PM,03:10 PM,FALSE,TRUE,06/04/14,11:10 AM,11:10 AM,FREE,BUSY
06/13/14,07:35 PM,07:35 PM,Angels at Braves,Turner Field,"Local TV: FSSO ----- Local Radio: Braves Radio Network -- WLBA 1130 -- WCNN 680/WYAY 106.7",06/13/14,06/13/14,10:35 PM,10:35 PM,FALSE,TRUE,06/13/14,06:35 PM,06:35 PM,FREE,BUSY
06/14/14,07:15 PM,07:15 PM,Angels at Braves,Turner Field,"Local TV: FOX ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",06/14/14,06/14/14,10:15 PM,10:15 PM,FALSE,TRUE,06/14/14,06:15 PM,06:15 PM,FREE,BUSY
06/15/14,08:00 PM,08:00 PM,Angels at Braves,Turner Field,"Local TV: ESPN ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",06/15/14,06/15/14,11:00 PM,11:00 PM,FALSE,TRUE,06/15/14,07:00 PM,07:00 PM,FREE,BUSY
06/16/14,07:10 PM,07:10 PM,Phillies at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",06/16/14,06/16/14,10:10 PM,10:10 PM,FALSE,TRUE,06/16/14,06:10 PM,06:10 PM,FREE,BUSY
06/17/14,07:10 PM,07:10 PM,Phillies at Braves,Turner Field,"Local TV: MLBN -- SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",06/17/14,06/17/14,10:10 PM,10:10 PM,FALSE,TRUE,06/17/14,06:10 PM,06:10 PM,FREE,BUSY
06/18/14,12:10 PM,12:10 PM,Phillies at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",06/18/14,06/18/14,03:10 PM,03:10 PM,FALSE,TRUE,06/18/14,11:10 AM,11:10 AM,FREE,BUSY
06/30/14,07:10 PM,07:10 PM,Mets at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: WCNN 680/WYAY 106.7 -- Braves Radio Network",06/30/14,06/30/14,10:10 PM,10:10 PM,FALSE,TRUE,06/30/14,06:10 PM,06:10 PM,FREE,BUSY
07/01/14,07:10 PM,07:10 PM,Mets at Braves,Turner Field,"Local TV: SPSO ----- Local Radio: Braves Radio Network -- WCNN 680/WYAY 106.7",07/01/14,07/01/14,10:10 PM,10:10 PM,FALSE,TRUE,07/01/14,06:10 PM,06:10 PM,FREE,BUSY
