START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,02:05 PM,03:05 PM,D-backs at Cubs,Cubs Park,"Local TV: WGN ----- Local Radio: MLB.com",02/27/14,02/27/14,05:05 PM,06:05 PM,FALSE,TRUE,02/27/14,01:05 PM,02:05 PM,FREE,BUSY
03/01/14,02:05 PM,03:05 PM,Giants at Cubs,Cubs Park,"Local Radio: MLB.com",03/01/14,03/01/14,05:05 PM,06:05 PM,FALSE,TRUE,03/01/14,01:05 PM,02:05 PM,FREE,BUSY
03/02/14,02:05 PM,03:05 PM,Royals at Cubs,Cubs Park,"Local Radio: WGN 720",03/02/14,03/02/14,05:05 PM,06:05 PM,FALSE,TRUE,03/02/14,01:05 PM,02:05 PM,FREE,BUSY
03/04/14,02:05 PM,03:05 PM,Athletics at Cubs,Cubs Park,"Local Radio: MLB.com",03/04/14,03/04/14,05:05 PM,06:05 PM,FALSE,TRUE,03/04/14,01:05 PM,02:05 PM,FREE,BUSY
03/05/14,02:05 PM,03:05 PM,Rockies at Cubs,Cubs Park,"Local Radio: MLB.com",03/05/14,03/05/14,05:05 PM,06:05 PM,FALSE,TRUE,03/05/14,01:05 PM,02:05 PM,FREE,BUSY
03/07/14,02:05 PM,03:05 PM,Indians at Cubs,Cubs Park,"Local Radio: MLB.com",03/07/14,03/07/14,05:05 PM,06:05 PM,FALSE,TRUE,03/07/14,01:05 PM,02:05 PM,FREE,BUSY
03/09/14,03:05 PM,04:05 PM,Brewers at Cubs,Cubs Park,"Local Radio: MLB.com",03/09/14,03/09/14,06:05 PM,07:05 PM,FALSE,TRUE,03/09/14,02:05 PM,03:05 PM,FREE,BUSY
03/11/14,03:05 PM,04:05 PM,Rockies at Cubs,Cubs Park,"Local Radio: MLB.com",03/11/14,03/11/14,06:05 PM,07:05 PM,FALSE,TRUE,03/11/14,02:05 PM,03:05 PM,FREE,BUSY
03/14/14,03:05 PM,04:05 PM,Dodgers at Cubs,Cubs Park,"Local TV: MLBN (delay) ----- Local Radio: MLB.com",03/14/14,03/14/14,06:05 PM,07:05 PM,FALSE,TRUE,03/14/14,02:05 PM,03:05 PM,FREE,BUSY
03/15/14,03:05 PM,04:05 PM,Mets at Cubs,Cashman Field,"Local TV: WGN",03/15/14,03/15/14,06:05 PM,07:05 PM,FALSE,TRUE,03/15/14,02:05 PM,03:05 PM,FREE,BUSY
