START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,03:05 PM,03:05 PM,Indians at Reds,Goodyear Ballpark,"Local TV: MLBN (delay) ----- Local Radio: WSAI-1360",02/27/14,02/27/14,06:05 PM,06:05 PM,FALSE,TRUE,02/27/14,02:05 PM,02:05 PM,FREE,BUSY
03/01/14,03:05 PM,03:05 PM,Rockies at Reds,Goodyear Ballpark,"Local Radio: WLW 700",03/01/14,03/01/14,06:05 PM,06:05 PM,FALSE,TRUE,03/01/14,02:05 PM,02:05 PM,FREE,BUSY
03/03/14,03:05 PM,03:05 PM,Mariners at Reds,Goodyear Ballpark,"Local Radio: WSAI-1360",03/03/14,03/03/14,06:05 PM,06:05 PM,FALSE,TRUE,03/03/14,02:05 PM,02:05 PM,FREE,BUSY
03/05/14,09:05 PM,09:05 PM,Dodgers at Reds,Goodyear Ballpark,"Local TV: MLBN ----- Local Radio: WSAI-1360",03/06/14,03/06/14,12:05 AM,12:05 AM,FALSE,TRUE,03/05/14,08:05 PM,08:05 PM,FREE,BUSY
03/07/14,03:05 PM,03:05 PM,White Sox at Reds,Goodyear Ballpark,"Local Radio: WSAI-1360",03/07/14,03/07/14,06:05 PM,06:05 PM,FALSE,TRUE,03/07/14,02:05 PM,02:05 PM,FREE,BUSY
03/08/14,03:05 PM,03:05 PM,Cubs at Reds,Goodyear Ballpark,"Local Radio: WLW 700",03/08/14,03/08/14,06:05 PM,06:05 PM,FALSE,TRUE,03/08/14,02:05 PM,02:05 PM,FREE,BUSY
03/11/14,04:05 PM,04:05 PM,Giants at Reds,Goodyear Ballpark,"Local Radio: WLW 700",03/11/14,03/11/14,07:05 PM,07:05 PM,FALSE,TRUE,03/11/14,03:05 PM,03:05 PM,FREE,BUSY
03/14/14,10:05 PM,10:05 PM,Rangers at Reds,Goodyear Ballpark,"Local Radio: MLB.com",03/15/14,03/15/14,01:05 AM,01:05 AM,FALSE,TRUE,03/14/14,09:05 PM,09:05 PM,FREE,BUSY
03/16/14,04:05 PM,04:05 PM,Athletics at Reds,Goodyear Ballpark,"Local Radio: WLW 700",03/16/14,03/16/14,07:05 PM,07:05 PM,FALSE,TRUE,03/16/14,03:05 PM,03:05 PM,FREE,BUSY
03/17/14,04:05 PM,04:05 PM,Indians at Reds,Goodyear Ballpark,"Local TV: MLBN ----- Local Radio: WLW 700",03/17/14,03/17/14,07:05 PM,07:05 PM,FALSE,TRUE,03/17/14,03:05 PM,03:05 PM,FREE,BUSY
03/20/14,04:05 PM,04:05 PM,Rangers at Reds,Goodyear Ballpark,"Local Radio: MLB.com",03/20/14,03/20/14,07:05 PM,07:05 PM,FALSE,TRUE,03/20/14,03:05 PM,03:05 PM,FREE,BUSY
03/21/14,04:05 PM,04:05 PM,Royals at Reds,Goodyear Ballpark,"Local Radio: MLB.com",03/21/14,03/21/14,07:05 PM,07:05 PM,FALSE,TRUE,03/21/14,03:05 PM,03:05 PM,FREE,BUSY
03/23/14,04:05 PM,04:05 PM,Brewers at Reds,Goodyear Ballpark,"Local Radio: WLW 700",03/23/14,03/23/14,07:05 PM,07:05 PM,FALSE,TRUE,03/23/14,03:05 PM,03:05 PM,FREE,BUSY
03/24/14,04:05 PM,04:05 PM,Indians at Reds,Goodyear Ballpark,"Local TV: MLBN ----- Local Radio: WSAI-1360",03/24/14,03/24/14,07:05 PM,07:05 PM,FALSE,TRUE,03/24/14,03:05 PM,03:05 PM,FREE,BUSY
