START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/02/14,01:10 PM,03:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850",03/02/14,03/02/14,04:10 PM,06:10 PM,FALSE,TRUE,03/02/14,12:10 PM,02:10 PM,FREE,BUSY
03/04/14,01:10 PM,03:10 PM,Giants at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850 -- MLB.com",03/04/14,03/04/14,04:10 PM,06:10 PM,FALSE,TRUE,03/04/14,12:10 PM,02:10 PM,FREE,BUSY
03/07/14,01:10 PM,03:10 PM,Angels at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850 -- MLB.com",03/07/14,03/07/14,04:10 PM,06:10 PM,FALSE,TRUE,03/07/14,12:10 PM,02:10 PM,FREE,BUSY
03/08/14,01:10 PM,03:10 PM,Athletics at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850",03/08/14,03/08/14,04:10 PM,06:10 PM,FALSE,TRUE,03/08/14,12:10 PM,02:10 PM,FREE,BUSY
03/10/14,02:10 PM,04:10 PM,Padres at Rockies,Salt River Fields at Talking Stick,"Local Radio: MLB.com -- KOA 850",03/10/14,03/10/14,05:10 PM,07:10 PM,FALSE,TRUE,03/10/14,01:10 PM,03:10 PM,FREE,BUSY
03/12/14,02:10 PM,04:10 PM,Reds at Rockies,Salt River Fields at Talking Stick,,03/12/14,03/12/14,05:10 PM,07:10 PM,FALSE,TRUE,03/12/14,01:10 PM,03:10 PM,FREE,BUSY
03/12/14,08:10 PM,10:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850",03/12/14,03/13/14,11:10 PM,01:10 AM,FALSE,TRUE,03/12/14,07:10 PM,09:10 PM,FREE,BUSY
03/14/14,07:40 PM,09:40 PM,Mariners at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850",03/14/14,03/15/14,10:40 PM,12:40 AM,FALSE,TRUE,03/14/14,06:40 PM,08:40 PM,FREE,BUSY
03/15/14,02:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850",03/15/14,03/15/14,05:10 PM,07:10 PM,FALSE,TRUE,03/15/14,01:10 PM,03:10 PM,FREE,BUSY
03/19/14,07:40 PM,09:40 PM,Cubs at Rockies,Salt River Fields at Talking Stick,"Local TV: MLBN -- ROOT SPORTS ----- Local Radio: KOA 850",03/19/14,03/20/14,10:40 PM,12:40 AM,FALSE,TRUE,03/19/14,06:40 PM,08:40 PM,FREE,BUSY
03/20/14,02:10 PM,04:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick,"Local TV: ROOT SPORTS",03/20/14,03/20/14,05:10 PM,07:10 PM,FALSE,TRUE,03/20/14,01:10 PM,03:10 PM,FREE,BUSY
03/21/14,02:10 PM,04:10 PM,Indians at Rockies,Salt River Fields at Talking Stick,"Local Radio: MLB.com -- KOA 850",03/21/14,03/21/14,05:10 PM,07:10 PM,FALSE,TRUE,03/21/14,01:10 PM,03:10 PM,FREE,BUSY
03/22/14,02:10 PM,04:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850",03/22/14,03/22/14,05:10 PM,07:10 PM,FALSE,TRUE,03/22/14,01:10 PM,03:10 PM,FREE,BUSY
03/23/14,02:10 PM,04:10 PM,White Sox at Rockies,Salt River Fields at Talking Stick,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850",03/23/14,03/23/14,05:10 PM,07:10 PM,FALSE,TRUE,03/23/14,01:10 PM,03:10 PM,FREE,BUSY
03/24/14,02:10 PM,04:10 PM,Royals at Rockies,Salt River Fields at Talking Stick,"Local Radio: MLB.com -- KOA 850",03/24/14,03/24/14,05:10 PM,07:10 PM,FALSE,TRUE,03/24/14,01:10 PM,03:10 PM,FREE,BUSY
03/29/14,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick,"Local TV: ROOT SPORTS",03/29/14,03/29/14,04:10 PM,06:10 PM,FALSE,TRUE,03/29/14,12:10 PM,02:10 PM,FREE,BUSY
04/04/14,02:10 PM,04:10 PM,D-backs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850",04/04/14,04/04/14,05:10 PM,07:10 PM,FALSE,TRUE,04/04/14,01:10 PM,03:10 PM,FREE,BUSY
04/05/14,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850",04/05/14,04/05/14,09:10 PM,11:10 PM,FALSE,TRUE,04/05/14,05:10 PM,07:10 PM,FREE,BUSY
04/06/14,02:10 PM,04:10 PM,D-backs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- KNRV 1150",04/06/14,04/06/14,05:10 PM,07:10 PM,FALSE,TRUE,04/06/14,01:10 PM,03:10 PM,FREE,BUSY
04/07/14,06:40 PM,08:40 PM,White Sox at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- KNRV 1150",04/07/14,04/07/14,09:40 PM,11:40 PM,FALSE,TRUE,04/07/14,05:40 PM,07:40 PM,FREE,BUSY
04/08/14,06:40 PM,08:40 PM,White Sox at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850",04/08/14,04/08/14,09:40 PM,11:40 PM,FALSE,TRUE,04/08/14,05:40 PM,07:40 PM,FREE,BUSY
04/09/14,01:10 PM,03:10 PM,White Sox at Rockies,Coors Field,"Local Radio: KNRV 1150 -- KOA 850",04/09/14,04/09/14,04:10 PM,06:10 PM,FALSE,TRUE,04/09/14,12:10 PM,02:10 PM,FREE,BUSY
