START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/27/14,12:05 PM,03:05 PM,D-backs at Dodgers,Camelback Ranch,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A.",02/27/14,02/27/14,03:05 PM,06:05 PM,FALSE,TRUE,02/27/14,11:05 AM,02:05 PM,FREE,BUSY
02/28/14,12:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: 570 Fox Sports L.A.",02/28/14,02/28/14,03:05 PM,06:05 PM,FALSE,TRUE,02/28/14,11:05 AM,02:05 PM,FREE,BUSY
03/02/14,12:05 PM,03:05 PM,Padres at Dodgers,Camelback Ranch,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",03/02/14,03/02/14,03:05 PM,06:05 PM,FALSE,TRUE,03/02/14,11:05 AM,02:05 PM,FREE,BUSY
03/04/14,12:05 PM,03:05 PM,Mariners at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA",03/04/14,03/04/14,03:05 PM,06:05 PM,FALSE,TRUE,03/04/14,11:05 AM,02:05 PM,FREE,BUSY
03/07/14,12:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: 570 Fox Sports L.A.",03/07/14,03/07/14,03:05 PM,06:05 PM,FALSE,TRUE,03/07/14,11:05 AM,02:05 PM,FREE,BUSY
03/08/14,06:05 PM,09:05 PM,Mariners at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA",03/08/14,03/09/14,09:05 PM,12:05 AM,FALSE,TRUE,03/08/14,05:05 PM,08:05 PM,FREE,BUSY
03/09/14,01:05 PM,04:05 PM,Giants at Dodgers,Camelback Ranch,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A.",03/09/14,03/09/14,04:05 PM,07:05 PM,FALSE,TRUE,03/09/14,12:05 PM,03:05 PM,FREE,BUSY
03/10/14,01:05 PM,04:05 PM,Athletics at Dodgers,Camelback Ranch,"Local TV: SportsNet LA",03/10/14,03/10/14,04:05 PM,07:05 PM,FALSE,TRUE,03/10/14,12:05 PM,03:05 PM,FREE,BUSY
03/12/14,01:05 PM,04:05 PM,D-backs at Dodgers,Camelback Ranch,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A.",03/12/14,03/12/14,04:05 PM,07:05 PM,FALSE,TRUE,03/12/14,12:05 PM,03:05 PM,FREE,BUSY
03/13/14,01:05 PM,04:05 PM,Reds at Dodgers,Camelback Ranch,"Local TV: SportsNet LA -- MLBN",03/13/14,03/13/14,04:05 PM,07:05 PM,FALSE,TRUE,03/13/14,12:05 PM,03:05 PM,FREE,BUSY
03/15/14,01:05 PM,04:05 PM,Padres at Dodgers,Camelback Ranch,,03/15/14,03/15/14,04:05 PM,07:05 PM,FALSE,TRUE,03/15/14,12:05 PM,03:05 PM,FREE,BUSY
03/16/14,01:05 PM,04:05 PM,Rockies at Dodgers,Camelback Ranch,"Local TV: MLBN -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",03/16/14,03/16/14,04:05 PM,07:05 PM,FALSE,TRUE,03/16/14,12:05 PM,03:05 PM,FREE,BUSY
03/27/14,07:10 PM,10:10 PM,Angels at Dodgers,Dodger Stadium,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A.",03/27/14,03/28/14,10:10 PM,01:10 AM,FALSE,TRUE,03/27/14,06:10 PM,09:10 PM,FREE,BUSY
03/28/14,07:10 PM,10:10 PM,Angels at Dodgers,Dodger Stadium,"Local TV: MLBN -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",03/28/14,03/29/14,10:10 PM,01:10 AM,FALSE,TRUE,03/28/14,06:10 PM,09:10 PM,FREE,BUSY
04/04/14,01:10 PM,04:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",04/04/14,04/04/14,04:10 PM,07:10 PM,FALSE,TRUE,04/04/14,12:10 PM,03:10 PM,FREE,BUSY
04/05/14,01:10 PM,04:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish -- FS1 ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/05/14,04/05/14,04:10 PM,07:10 PM,FALSE,TRUE,04/05/14,12:10 PM,03:10 PM,FREE,BUSY
04/06/14,05:00 PM,08:00 PM,Giants at Dodgers,Dodger Stadium,"Local TV: ESPN2 ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/06/14,04/06/14,08:00 PM,11:00 PM,FALSE,TRUE,04/06/14,04:00 PM,07:00 PM,FREE,BUSY
04/08/14,07:10 PM,10:10 PM,Tigers at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA -- MLBN ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/08/14,04/09/14,10:10 PM,01:10 AM,FALSE,TRUE,04/08/14,06:10 PM,09:10 PM,FREE,BUSY
04/09/14,07:10 PM,10:10 PM,Tigers at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",04/09/14,04/10/14,10:10 PM,01:10 AM,FALSE,TRUE,04/09/14,06:10 PM,09:10 PM,FREE,BUSY
04/18/14,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/18/14,04/19/14,10:10 PM,01:10 AM,FALSE,TRUE,04/18/14,06:10 PM,09:10 PM,FREE,BUSY
04/19/14,05:10 PM,08:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: FS1 -- SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",04/19/14,04/19/14,08:10 PM,11:10 PM,FALSE,TRUE,04/19/14,04:10 PM,07:10 PM,FREE,BUSY
04/20/14,01:10 PM,04:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",04/20/14,04/20/14,04:10 PM,07:10 PM,FALSE,TRUE,04/20/14,12:10 PM,03:10 PM,FREE,BUSY
04/21/14,07:10 PM,10:10 PM,Phillies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",04/21/14,04/22/14,10:10 PM,01:10 AM,FALSE,TRUE,04/21/14,06:10 PM,09:10 PM,FREE,BUSY
04/22/14,07:10 PM,10:10 PM,Phillies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/22/14,04/23/14,10:10 PM,01:10 AM,FALSE,TRUE,04/22/14,06:10 PM,09:10 PM,FREE,BUSY
04/23/14,07:10 PM,10:10 PM,Phillies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",04/23/14,04/24/14,10:10 PM,01:10 AM,FALSE,TRUE,04/23/14,06:10 PM,09:10 PM,FREE,BUSY
04/24/14,07:10 PM,10:10 PM,Phillies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/24/14,04/25/14,10:10 PM,01:10 AM,FALSE,TRUE,04/24/14,06:10 PM,09:10 PM,FREE,BUSY
04/25/14,07:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/25/14,04/26/14,10:10 PM,01:10 AM,FALSE,TRUE,04/25/14,06:10 PM,09:10 PM,FREE,BUSY
04/26/14,06:10 PM,09:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",04/26/14,04/27/14,09:10 PM,12:10 AM,FALSE,TRUE,04/26/14,05:10 PM,08:10 PM,FREE,BUSY
04/27/14,01:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",04/27/14,04/27/14,04:10 PM,07:10 PM,FALSE,TRUE,04/27/14,12:10 PM,03:10 PM,FREE,BUSY
05/08/14,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- MLBN -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",05/08/14,05/09/14,10:10 PM,01:10 AM,FALSE,TRUE,05/08/14,06:10 PM,09:10 PM,FREE,BUSY
05/09/14,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",05/09/14,05/10/14,10:10 PM,01:10 AM,FALSE,TRUE,05/09/14,06:10 PM,09:10 PM,FREE,BUSY
05/10/14,01:10 PM,04:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish -- FS1 ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",05/10/14,05/10/14,04:10 PM,07:10 PM,FALSE,TRUE,05/10/14,12:10 PM,03:10 PM,FREE,BUSY
05/11/14,01:10 PM,04:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",05/11/14,05/11/14,04:10 PM,07:10 PM,FALSE,TRUE,05/11/14,12:10 PM,03:10 PM,FREE,BUSY
05/12/14,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",05/12/14,05/13/14,10:10 PM,01:10 AM,FALSE,TRUE,05/12/14,06:10 PM,09:10 PM,FREE,BUSY
05/13/14,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",05/13/14,05/14/14,10:10 PM,01:10 AM,FALSE,TRUE,05/13/14,06:10 PM,09:10 PM,FREE,BUSY
05/14/14,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",05/14/14,05/15/14,10:10 PM,01:10 AM,FALSE,TRUE,05/14/14,06:10 PM,09:10 PM,FREE,BUSY
05/26/14,05:10 PM,08:10 PM,Reds at Dodgers,Dodger Stadium,"Local TV: MLBN -- SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",05/26/14,05/26/14,08:10 PM,11:10 PM,FALSE,TRUE,05/26/14,04:10 PM,07:10 PM,FREE,BUSY
05/27/14,07:10 PM,10:10 PM,Reds at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- ESPN -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",05/27/14,05/28/14,10:10 PM,01:10 AM,FALSE,TRUE,05/27/14,06:10 PM,09:10 PM,FREE,BUSY
05/28/14,07:10 PM,10:10 PM,Reds at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",05/28/14,05/29/14,10:10 PM,01:10 AM,FALSE,TRUE,05/28/14,06:10 PM,09:10 PM,FREE,BUSY
05/29/14,07:10 PM,10:10 PM,Pirates at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",05/29/14,05/30/14,10:10 PM,01:10 AM,FALSE,TRUE,05/29/14,06:10 PM,09:10 PM,FREE,BUSY
05/30/14,07:10 PM,10:10 PM,Pirates at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",05/30/14,05/31/14,10:10 PM,01:10 AM,FALSE,TRUE,05/30/14,06:10 PM,09:10 PM,FREE,BUSY
05/31/14,04:15 PM,07:15 PM,Pirates at Dodgers,Dodger Stadium,"Local TV: FOX ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",05/31/14,05/31/14,07:15 PM,10:15 PM,FALSE,TRUE,05/31/14,03:15 PM,06:15 PM,FREE,BUSY
06/01/14,05:07 PM,08:07 PM,Pirates at Dodgers,Dodger Stadium,"Local TV: ESPN2 ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",06/01/14,06/01/14,08:07 PM,11:07 PM,FALSE,TRUE,06/01/14,04:07 PM,07:07 PM,FREE,BUSY
06/02/14,07:10 PM,10:10 PM,White Sox at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",06/02/14,06/03/14,10:10 PM,01:10 AM,FALSE,TRUE,06/02/14,06:10 PM,09:10 PM,FREE,BUSY
06/03/14,07:10 PM,10:10 PM,White Sox at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",06/03/14,06/04/14,10:10 PM,01:10 AM,FALSE,TRUE,06/03/14,06:10 PM,09:10 PM,FREE,BUSY
06/04/14,07:10 PM,10:10 PM,White Sox at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",06/04/14,06/05/14,10:10 PM,01:10 AM,FALSE,TRUE,06/04/14,06:10 PM,09:10 PM,FREE,BUSY
06/13/14,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",06/13/14,06/14/14,10:10 PM,01:10 AM,FALSE,TRUE,06/13/14,06:10 PM,09:10 PM,FREE,BUSY
06/14/14,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: MLBN -- SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",06/14/14,06/15/14,10:10 PM,01:10 AM,FALSE,TRUE,06/14/14,06:10 PM,09:10 PM,FREE,BUSY
06/15/14,01:10 PM,04:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",06/15/14,06/15/14,04:10 PM,07:10 PM,FALSE,TRUE,06/15/14,12:10 PM,03:10 PM,FREE,BUSY
06/16/14,07:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",06/16/14,06/17/14,10:10 PM,01:10 AM,FALSE,TRUE,06/16/14,06:10 PM,09:10 PM,FREE,BUSY
06/17/14,07:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",06/17/14,06/18/14,10:10 PM,01:10 AM,FALSE,TRUE,06/17/14,06:10 PM,09:10 PM,FREE,BUSY
06/18/14,07:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",06/18/14,06/19/14,10:10 PM,01:10 AM,FALSE,TRUE,06/18/14,06:10 PM,09:10 PM,FREE,BUSY
06/26/14,07:10 PM,10:10 PM,Cardinals at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- MLBN -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",06/26/14,06/27/14,10:10 PM,01:10 AM,FALSE,TRUE,06/26/14,06:10 PM,09:10 PM,FREE,BUSY
06/27/14,07:10 PM,10:10 PM,Cardinals at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",06/27/14,06/28/14,10:10 PM,01:10 AM,FALSE,TRUE,06/27/14,06:10 PM,09:10 PM,FREE,BUSY
06/28/14,04:15 PM,07:15 PM,Cardinals at Dodgers,Dodger Stadium,"Local TV: FOX ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",06/28/14,06/28/14,07:15 PM,10:15 PM,FALSE,TRUE,06/28/14,03:15 PM,06:15 PM,FREE,BUSY
06/29/14,01:10 PM,04:10 PM,Cardinals at Dodgers,Dodger Stadium,"Local TV: MLBN -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",06/29/14,06/29/14,04:10 PM,07:10 PM,FALSE,TRUE,06/29/14,12:10 PM,03:10 PM,FREE,BUSY
