START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,01:05 PM,01:05 PM,Hurricanes at Marlins,Roger Dean Stadium,"Local Radio: 940 AM WINZ",02/26/14,02/26/14,04:05 PM,04:05 PM,FALSE,TRUE,02/26/14,12:05 PM,12:05 PM,FREE,BUSY
02/27/14,01:05 PM,01:05 PM,Panthers at Marlins,Roger Dean Stadium,,02/27/14,02/27/14,04:05 PM,04:05 PM,FALSE,TRUE,02/27/14,12:05 PM,12:05 PM,FREE,BUSY
03/01/14,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Stadium,"Local Radio: WAQI 710",03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/03/14,01:05 PM,01:05 PM,Astros at Marlins,Roger Dean Stadium,,03/03/14,03/03/14,04:05 PM,04:05 PM,FALSE,TRUE,03/03/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,01:05 PM,01:05 PM,Twins at Marlins,Roger Dean Stadium,"Local Radio: WAQI 710",03/04/14,03/04/14,04:05 PM,04:05 PM,FALSE,TRUE,03/04/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Red Sox at Marlins,Roger Dean Stadium,"Local Radio: 940 AM WINZ",03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Tigers at Marlins,Roger Dean Stadium,"Local Radio: 940 AM WINZ",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/12/14,01:05 PM,01:05 PM,Braves at Marlins,Roger Dean Stadium,"Local Radio: WAQI 710",03/12/14,03/12/14,04:05 PM,04:05 PM,FALSE,TRUE,03/12/14,12:05 PM,12:05 PM,FREE,BUSY
03/14/14,07:05 PM,07:05 PM,Mets at Marlins,Roger Dean Stadium,,03/14/14,03/14/14,10:05 PM,10:05 PM,FALSE,TRUE,03/14/14,06:05 PM,06:05 PM,FREE,BUSY
03/15/14,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Stadium,"Local Radio: WAQI 710 -- 940 AM WINZ",03/15/14,03/15/14,04:05 PM,04:05 PM,FALSE,TRUE,03/15/14,12:05 PM,12:05 PM,FREE,BUSY
03/16/14,02:05 PM,02:05 PM,Yankees at Marlins,Rod Carew Stadium,,03/16/14,03/16/14,05:05 PM,05:05 PM,FALSE,TRUE,03/16/14,01:05 PM,01:05 PM,FREE,BUSY
03/17/14,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Stadium,"Local Radio: 940 AM WINZ",03/17/14,03/17/14,04:05 PM,04:05 PM,FALSE,TRUE,03/17/14,12:05 PM,12:05 PM,FREE,BUSY
03/18/14,01:05 PM,01:05 PM,Astros at Marlins,Roger Dean Stadium,"Local Radio: 940 AM WINZ",03/18/14,03/18/14,04:05 PM,04:05 PM,FALSE,TRUE,03/18/14,12:05 PM,12:05 PM,FREE,BUSY
03/20/14,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Stadium,"Local TV: FS-F",03/20/14,03/20/14,04:05 PM,04:05 PM,FALSE,TRUE,03/20/14,12:05 PM,12:05 PM,FREE,BUSY
03/22/14,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Stadium,"Local Radio: WAQI 710",03/22/14,03/22/14,04:05 PM,04:05 PM,FALSE,TRUE,03/22/14,12:05 PM,12:05 PM,FREE,BUSY
03/24/14,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Stadium,"Local Radio: 940 AM WINZ",03/24/14,03/24/14,04:05 PM,04:05 PM,FALSE,TRUE,03/24/14,12:05 PM,12:05 PM,FREE,BUSY
03/25/14,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Stadium,"Local TV: FS-F ----- Local Radio: 940 AM WINZ",03/25/14,03/25/14,04:05 PM,04:05 PM,FALSE,TRUE,03/25/14,12:05 PM,12:05 PM,FREE,BUSY
03/31/14,07:05 PM,07:05 PM,Rockies at Marlins,Marlins Park,"Local TV: ESPN2 -- FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",03/31/14,03/31/14,10:05 PM,10:05 PM,FALSE,TRUE,03/31/14,06:05 PM,06:05 PM,FREE,BUSY
04/01/14,07:10 PM,07:10 PM,Rockies at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",04/01/14,04/01/14,10:10 PM,10:10 PM,FALSE,TRUE,04/01/14,06:10 PM,06:10 PM,FREE,BUSY
04/02/14,07:10 PM,07:10 PM,Rockies at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/02/14,04/02/14,10:10 PM,10:10 PM,FALSE,TRUE,04/02/14,06:10 PM,06:10 PM,FREE,BUSY
04/03/14,12:40 PM,12:40 PM,Rockies at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/03/14,04/03/14,03:40 PM,03:40 PM,FALSE,TRUE,04/03/14,11:40 AM,11:40 AM,FREE,BUSY
04/04/14,07:10 PM,07:10 PM,Padres at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/04/14,04/04/14,10:10 PM,10:10 PM,FALSE,TRUE,04/04/14,06:10 PM,06:10 PM,FREE,BUSY
04/05/14,07:10 PM,07:10 PM,Padres at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/05/14,04/05/14,10:10 PM,10:10 PM,FALSE,TRUE,04/05/14,06:10 PM,06:10 PM,FREE,BUSY
04/06/14,01:10 PM,01:10 PM,Padres at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/06/14,04/06/14,04:10 PM,04:10 PM,FALSE,TRUE,04/06/14,12:10 PM,12:10 PM,FREE,BUSY
04/14/14,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",04/14/14,04/14/14,10:10 PM,10:10 PM,FALSE,TRUE,04/14/14,06:10 PM,06:10 PM,FREE,BUSY
04/15/14,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/15/14,04/15/14,10:10 PM,10:10 PM,FALSE,TRUE,04/15/14,06:10 PM,06:10 PM,FREE,BUSY
04/16/14,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/16/14,04/16/14,10:10 PM,10:10 PM,FALSE,TRUE,04/16/14,06:10 PM,06:10 PM,FREE,BUSY
04/18/14,07:10 PM,07:10 PM,Mariners at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",04/18/14,04/18/14,10:10 PM,10:10 PM,FALSE,TRUE,04/18/14,06:10 PM,06:10 PM,FREE,BUSY
04/19/14,07:10 PM,07:10 PM,Mariners at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/19/14,04/19/14,10:10 PM,10:10 PM,FALSE,TRUE,04/19/14,06:10 PM,06:10 PM,FREE,BUSY
04/20/14,01:10 PM,01:10 PM,Mariners at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/20/14,04/20/14,04:10 PM,04:10 PM,FALSE,TRUE,04/20/14,12:10 PM,12:10 PM,FREE,BUSY
04/29/14,07:10 PM,07:10 PM,Braves at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",04/29/14,04/29/14,10:10 PM,10:10 PM,FALSE,TRUE,04/29/14,06:10 PM,06:10 PM,FREE,BUSY
04/30/14,07:10 PM,07:10 PM,Braves at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",04/30/14,04/30/14,10:10 PM,10:10 PM,FALSE,TRUE,04/30/14,06:10 PM,06:10 PM,FREE,BUSY
05/01/14,07:10 PM,07:10 PM,Braves at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",05/01/14,05/01/14,10:10 PM,10:10 PM,FALSE,TRUE,05/01/14,06:10 PM,06:10 PM,FREE,BUSY
05/02/14,07:10 PM,07:10 PM,Dodgers at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",05/02/14,05/02/14,10:10 PM,10:10 PM,FALSE,TRUE,05/02/14,06:10 PM,06:10 PM,FREE,BUSY
05/03/14,07:10 PM,07:10 PM,Dodgers at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",05/03/14,05/03/14,10:10 PM,10:10 PM,FALSE,TRUE,05/03/14,06:10 PM,06:10 PM,FREE,BUSY
05/04/14,01:10 PM,01:10 PM,Dodgers at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",05/04/14,05/04/14,04:10 PM,04:10 PM,FALSE,TRUE,05/04/14,12:10 PM,12:10 PM,FREE,BUSY
05/05/14,07:10 PM,07:10 PM,Mets at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",05/05/14,05/05/14,10:10 PM,10:10 PM,FALSE,TRUE,05/05/14,06:10 PM,06:10 PM,FREE,BUSY
05/06/14,07:10 PM,07:10 PM,Mets at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",05/06/14,05/06/14,10:10 PM,10:10 PM,FALSE,TRUE,05/06/14,06:10 PM,06:10 PM,FREE,BUSY
05/07/14,12:40 PM,12:40 PM,Mets at Marlins,Marlins Park,"Local Radio: WAQI 710 -- 940 AM WINZ",05/07/14,05/07/14,03:40 PM,03:40 PM,FALSE,TRUE,05/07/14,11:40 AM,11:40 AM,FREE,BUSY
05/20/14,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",05/20/14,05/20/14,10:10 PM,10:10 PM,FALSE,TRUE,05/20/14,06:10 PM,06:10 PM,FREE,BUSY
05/21/14,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",05/21/14,05/21/14,10:10 PM,10:10 PM,FALSE,TRUE,05/21/14,06:10 PM,06:10 PM,FREE,BUSY
05/22/14,12:40 PM,12:40 PM,Phillies at Marlins,Marlins Park,"Local TV: MLBN ----- Local Radio: 940 AM WINZ -- WAQI 710",05/22/14,05/22/14,03:40 PM,03:40 PM,FALSE,TRUE,05/22/14,11:40 AM,11:40 AM,FREE,BUSY
05/23/14,07:10 PM,07:10 PM,Brewers at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",05/23/14,05/23/14,10:10 PM,10:10 PM,FALSE,TRUE,05/23/14,06:10 PM,06:10 PM,FREE,BUSY
05/24/14,04:10 PM,04:10 PM,Brewers at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",05/24/14,05/24/14,07:10 PM,07:10 PM,FALSE,TRUE,05/24/14,03:10 PM,03:10 PM,FREE,BUSY
05/25/14,01:10 PM,01:10 PM,Brewers at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",05/25/14,05/25/14,04:10 PM,04:10 PM,FALSE,TRUE,05/25/14,12:10 PM,12:10 PM,FREE,BUSY
05/30/14,07:10 PM,07:10 PM,Braves at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",05/30/14,05/30/14,10:10 PM,10:10 PM,FALSE,TRUE,05/30/14,06:10 PM,06:10 PM,FREE,BUSY
05/31/14,04:10 PM,04:10 PM,Braves at Marlins,Marlins Park,"Local TV: FS1 ----- Local Radio: WAQI 710 -- 940 AM WINZ",05/31/14,05/31/14,07:10 PM,07:10 PM,FALSE,TRUE,05/31/14,03:10 PM,03:10 PM,FREE,BUSY
06/01/14,01:10 PM,01:10 PM,Braves at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",06/01/14,06/01/14,04:10 PM,04:10 PM,FALSE,TRUE,06/01/14,12:10 PM,12:10 PM,FREE,BUSY
06/02/14,07:10 PM,07:10 PM,Rays at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",06/02/14,06/02/14,10:10 PM,10:10 PM,FALSE,TRUE,06/02/14,06:10 PM,06:10 PM,FREE,BUSY
06/03/14,07:10 PM,07:10 PM,Rays at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",06/03/14,06/03/14,10:10 PM,10:10 PM,FALSE,TRUE,06/03/14,06:10 PM,06:10 PM,FREE,BUSY
06/13/14,07:10 PM,07:10 PM,Pirates at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",06/13/14,06/13/14,10:10 PM,10:10 PM,FALSE,TRUE,06/13/14,06:10 PM,06:10 PM,FREE,BUSY
06/14/14,04:10 PM,04:10 PM,Pirates at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: 940 AM WINZ -- WAQI 710",06/14/14,06/14/14,07:10 PM,07:10 PM,FALSE,TRUE,06/14/14,03:10 PM,03:10 PM,FREE,BUSY
06/15/14,01:10 PM,01:10 PM,Pirates at Marlins,Marlins Park,"Local TV: FS-F ----- Local Radio: WAQI 710 -- 940 AM WINZ",06/15/14,06/15/14,04:10 PM,04:10 PM,FALSE,TRUE,06/15/14,12:10 PM,12:10 PM,FREE,BUSY
