START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/01/14,02:05 PM,03:05 PM,Dodgers at Brewers,Maryvale Baseball Park,"Local TV: FSWI",03/01/14,03/01/14,05:05 PM,06:05 PM,FALSE,TRUE,03/01/14,01:05 PM,02:05 PM,FREE,BUSY
03/03/14,02:05 PM,03:05 PM,Cubs at Brewers,Maryvale Baseball Park,"Local TV: FSWI -- MLBN (delay) ----- Local Radio: WTMJ 620",03/03/14,03/03/14,05:05 PM,06:05 PM,FALSE,TRUE,03/03/14,01:05 PM,02:05 PM,FREE,BUSY
03/05/14,02:05 PM,03:05 PM,Athletics at Brewers,Maryvale Baseball Park,"Local TV: FSWI ----- Local Radio: MLB.com",03/05/14,03/05/14,05:05 PM,06:05 PM,FALSE,TRUE,03/05/14,01:05 PM,02:05 PM,FREE,BUSY
03/06/14,02:05 PM,03:05 PM,Rockies at Brewers,Maryvale Baseball Park,"Local TV: FSWI ----- Local Radio: WTMJ 620",03/06/14,03/06/14,05:05 PM,06:05 PM,FALSE,TRUE,03/06/14,01:05 PM,02:05 PM,FREE,BUSY
03/07/14,02:05 PM,03:05 PM,Padres at Brewers,Maryvale Baseball Park,"Local TV: FSWI",03/07/14,03/07/14,05:05 PM,06:05 PM,FALSE,TRUE,03/07/14,01:05 PM,02:05 PM,FREE,BUSY
03/08/14,02:05 PM,03:05 PM,Royals at Brewers,Maryvale Baseball Park,"Local TV: FSWI -- MLBN (delay) ----- Local Radio: WTMJ 620",03/08/14,03/08/14,05:05 PM,06:05 PM,FALSE,TRUE,03/08/14,01:05 PM,02:05 PM,FREE,BUSY
03/10/14,03:05 PM,04:05 PM,White Sox at Brewers,Maryvale Baseball Park,"Local TV: MLBN -- FSWI",03/10/14,03/10/14,06:05 PM,07:05 PM,FALSE,TRUE,03/10/14,02:05 PM,03:05 PM,FREE,BUSY
03/14/14,03:05 PM,04:05 PM,D-backs at Brewers,Maryvale Baseball Park,"Local TV: FSWI -- MLBN ----- Local Radio: WTMJ 620",03/14/14,03/14/14,06:05 PM,07:05 PM,FALSE,TRUE,03/14/14,02:05 PM,03:05 PM,FREE,BUSY
03/15/14,03:05 PM,04:05 PM,Reds at Brewers,Maryvale Baseball Park,"Local TV: FSWI -- MLBN",03/15/14,03/15/14,06:05 PM,07:05 PM,FALSE,TRUE,03/15/14,02:05 PM,03:05 PM,FREE,BUSY
03/17/14,03:05 PM,04:05 PM,White Sox at Brewers,Maryvale Baseball Park,"Local TV: FSWI ----- Local Radio: WTMJ 620",03/17/14,03/17/14,06:05 PM,07:05 PM,FALSE,TRUE,03/17/14,02:05 PM,03:05 PM,FREE,BUSY
03/18/14,03:05 PM,04:05 PM,Rangers at Brewers,Maryvale Baseball Park,"Local TV: FSWI ----- Local Radio: WTMJ 620",03/18/14,03/18/14,06:05 PM,07:05 PM,FALSE,TRUE,03/18/14,02:05 PM,03:05 PM,FREE,BUSY
03/22/14,03:05 PM,04:05 PM,Angels at Brewers,Maryvale Baseball Park,"Local TV: FSWI ----- Local Radio: WTMJ 620",03/22/14,03/22/14,06:05 PM,07:05 PM,FALSE,TRUE,03/22/14,02:05 PM,03:05 PM,FREE,BUSY
03/25/14,03:05 PM,04:05 PM,Giants at Brewers,Maryvale Baseball Park,"Local TV: FSWI -- MLBN ----- Local Radio: WTMJ 620",03/25/14,03/25/14,06:05 PM,07:05 PM,FALSE,TRUE,03/25/14,02:05 PM,03:05 PM,FREE,BUSY
03/27/14,02:05 PM,03:05 PM,Reds at Brewers,Maryvale Baseball Park,"Local TV: FSWI -- MLBN",03/27/14,03/27/14,05:05 PM,06:05 PM,FALSE,TRUE,03/27/14,01:05 PM,02:05 PM,FREE,BUSY
03/28/14,07:10 PM,08:10 PM,Royals at Brewers,Miller Park,"Local Radio: WTMJ 620",03/28/14,03/28/14,10:10 PM,11:10 PM,FALSE,TRUE,03/28/14,06:10 PM,07:10 PM,FREE,BUSY
03/29/14,01:10 PM,02:10 PM,Royals at Brewers,Miller Park,"Local Radio: WTMJ 620",03/29/14,03/29/14,04:10 PM,05:10 PM,FALSE,TRUE,03/29/14,12:10 PM,01:10 PM,FREE,BUSY
03/31/14,01:10 PM,02:10 PM,Braves at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: WRRD 1510 -- ESPN Deportes 1510 -- WTMJ 620 -- Brewers Radio Network",03/31/14,03/31/14,04:10 PM,05:10 PM,FALSE,TRUE,03/31/14,12:10 PM,01:10 PM,FREE,BUSY
04/01/14,07:10 PM,08:10 PM,Braves at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: WTMJ 620 -- Brewers Radio Network",04/01/14,04/01/14,10:10 PM,11:10 PM,FALSE,TRUE,04/01/14,06:10 PM,07:10 PM,FREE,BUSY
04/02/14,12:10 PM,01:10 PM,Braves at Brewers,Miller Park,"Local TV: MLBN -- FSWI ----- Local Radio: ESPN Deportes 1510 -- WTMJ 620 -- Brewers Radio Network",04/02/14,04/02/14,03:10 PM,04:10 PM,FALSE,TRUE,04/02/14,11:10 AM,12:10 PM,FREE,BUSY
04/11/14,07:10 PM,08:10 PM,Pirates at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: Brewers Radio Network -- WTMJ 620",04/11/14,04/11/14,10:10 PM,11:10 PM,FALSE,TRUE,04/11/14,06:10 PM,07:10 PM,FREE,BUSY
04/12/14,06:10 PM,07:10 PM,Pirates at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: WTMJ 620 -- Brewers Radio Network",04/12/14,04/12/14,09:10 PM,10:10 PM,FALSE,TRUE,04/12/14,05:10 PM,06:10 PM,FREE,BUSY
04/13/14,01:10 PM,02:10 PM,Pirates at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: WTMJ 620 -- Brewers Radio Network -- ESPN Deportes 1510",04/13/14,04/13/14,04:10 PM,05:10 PM,FALSE,TRUE,04/13/14,12:10 PM,01:10 PM,FREE,BUSY
04/14/14,07:10 PM,08:10 PM,Cardinals at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: WTMJ 620 -- Brewers Radio Network",04/14/14,04/14/14,10:10 PM,11:10 PM,FALSE,TRUE,04/14/14,06:10 PM,07:10 PM,FREE,BUSY
04/15/14,07:10 PM,08:10 PM,Cardinals at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: WTMJ 620 -- Brewers Radio Network",04/15/14,04/15/14,10:10 PM,11:10 PM,FALSE,TRUE,04/15/14,06:10 PM,07:10 PM,FREE,BUSY
04/16/14,12:10 PM,01:10 PM,Cardinals at Brewers,Miller Park,"Local Radio: Brewers Radio Network -- ESPN Deportes 1510 -- WTMJ 620",04/16/14,04/16/14,03:10 PM,04:10 PM,FALSE,TRUE,04/16/14,11:10 AM,12:10 PM,FREE,BUSY
04/21/14,07:10 PM,08:10 PM,Padres at Brewers,Miller Park,"Local TV: FSWI ----- Local Radio: WTMJ 620 -- Brewers Radio Network",04/21/14,04/21/14,10:10 PM,11:10 PM,FALSE,TRUE,04/21/14,06:10 PM,07:10 PM,FREE,BUSY
