START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/28/14,01:10 PM,01:10 PM,Nationals at Mets,Tradition Field,"Local TV: SNY -- MLBN (delay) ----- Local Radio: 710 WOR",02/28/14,02/28/14,04:10 PM,04:10 PM,FALSE,TRUE,02/28/14,12:10 PM,12:10 PM,FREE,BUSY
03/01/14,01:10 PM,01:10 PM,Marlins at Mets,Tradition Field,"Local TV: WPIX",03/01/14,03/01/14,04:10 PM,04:10 PM,FALSE,TRUE,03/01/14,12:10 PM,12:10 PM,FREE,BUSY
03/04/14,01:10 PM,01:10 PM,Astros at Mets,Tradition Field,"Local TV: SNY -- MLBN",03/04/14,03/04/14,04:10 PM,04:10 PM,FALSE,TRUE,03/04/14,12:10 PM,12:10 PM,FREE,BUSY
03/05/14,01:10 PM,01:10 PM,Marlins at Mets,Tradition Field,"Local TV: SNY",03/05/14,03/05/14,04:10 PM,04:10 PM,FALSE,TRUE,03/05/14,12:10 PM,12:10 PM,FREE,BUSY
03/07/14,01:10 PM,01:10 PM,Cardinals at Mets,Tradition Field,"Local TV: SNY",03/07/14,03/07/14,04:10 PM,04:10 PM,FALSE,TRUE,03/07/14,12:10 PM,12:10 PM,FREE,BUSY
03/09/14,01:10 PM,01:10 PM,Braves at Mets,Tradition Field,"Local TV: WPIX -- MLBN (delay) ----- Local Radio: 710 WOR",03/09/14,03/09/14,04:10 PM,04:10 PM,FALSE,TRUE,03/09/14,12:10 PM,12:10 PM,FREE,BUSY
03/10/14,01:10 PM,01:10 PM,Marlins at Mets,Tradition Field,"Local TV: SNY",03/10/14,03/10/14,04:10 PM,04:10 PM,FALSE,TRUE,03/10/14,12:10 PM,12:10 PM,FREE,BUSY
03/12/14,01:10 PM,01:10 PM,Cardinals at Mets,Tradition Field,"Local TV: SNY",03/12/14,03/12/14,04:10 PM,04:10 PM,FALSE,TRUE,03/12/14,12:10 PM,12:10 PM,FREE,BUSY
03/15/14,01:10 PM,01:10 PM,Twins at Mets,Tradition Field,"Local TV: WPIX ----- Local Radio: 710 WOR",03/15/14,03/15/14,04:10 PM,04:10 PM,FALSE,TRUE,03/15/14,12:10 PM,12:10 PM,FREE,BUSY
03/16/14,04:05 PM,04:05 PM,Cubs at Mets,Cashman Field,,03/16/14,03/16/14,07:05 PM,07:05 PM,FALSE,TRUE,03/16/14,03:05 PM,03:05 PM,FREE,BUSY
03/18/14,01:10 PM,01:10 PM,Tigers at Mets,Tradition Field,"Local TV: SNY",03/18/14,03/18/14,04:10 PM,04:10 PM,FALSE,TRUE,03/18/14,12:10 PM,12:10 PM,FREE,BUSY
03/20/14,01:10 PM,01:10 PM,Braves at Mets,Tradition Field,"Local TV: SNY -- MLBN",03/20/14,03/20/14,04:10 PM,04:10 PM,FALSE,TRUE,03/20/14,12:10 PM,12:10 PM,FREE,BUSY
03/23/14,01:10 PM,01:10 PM,Nationals at Mets,Tradition Field,"Local TV: WPIX ----- Local Radio: WEPN 1050 -- 710 WOR",03/23/14,03/23/14,04:10 PM,04:10 PM,FALSE,TRUE,03/23/14,12:10 PM,12:10 PM,FREE,BUSY
03/24/14,01:10 PM,01:10 PM,Cardinals at Mets,Tradition Field,"Local TV: SNY",03/24/14,03/24/14,04:10 PM,04:10 PM,FALSE,TRUE,03/24/14,12:10 PM,12:10 PM,FREE,BUSY
03/27/14,12:10 PM,12:10 PM,Nationals at Mets,Tradition Field,"Local TV: ESPN -- SNY",03/27/14,03/27/14,03:10 PM,03:10 PM,FALSE,TRUE,03/27/14,11:10 AM,11:10 AM,FREE,BUSY
03/31/14,01:10 PM,01:10 PM,Nationals at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- 710 WOR",03/31/14,03/31/14,04:10 PM,04:10 PM,FALSE,TRUE,03/31/14,12:10 PM,12:10 PM,FREE,BUSY
04/02/14,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,"Local TV: SNY ----- Local Radio: 710 WOR -- WEPN 1050",04/02/14,04/02/14,10:10 PM,10:10 PM,FALSE,TRUE,04/02/14,06:10 PM,06:10 PM,FREE,BUSY
04/03/14,01:10 PM,01:10 PM,Nationals at Mets,Citi Field,"Local TV: SNY ----- Local Radio: 710 WOR -- WEPN 1050",04/03/14,04/03/14,04:10 PM,04:10 PM,FALSE,TRUE,04/03/14,12:10 PM,12:10 PM,FREE,BUSY
04/04/14,07:10 PM,07:10 PM,Reds at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- 710 WOR",04/04/14,04/04/14,10:10 PM,10:10 PM,FALSE,TRUE,04/04/14,06:10 PM,06:10 PM,FREE,BUSY
04/05/14,01:10 PM,01:10 PM,Reds at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- 710 WOR",04/05/14,04/05/14,04:10 PM,04:10 PM,FALSE,TRUE,04/05/14,12:10 PM,12:10 PM,FREE,BUSY
04/06/14,01:10 PM,01:10 PM,Reds at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- 710 WOR",04/06/14,04/06/14,04:10 PM,04:10 PM,FALSE,TRUE,04/06/14,12:10 PM,12:10 PM,FREE,BUSY
04/18/14,07:10 PM,07:10 PM,Braves at Mets,Citi Field,"Local TV: SNY ----- Local Radio: 710 WOR -- WEPN 1050",04/18/14,04/18/14,10:10 PM,10:10 PM,FALSE,TRUE,04/18/14,06:10 PM,06:10 PM,FREE,BUSY
04/19/14,07:10 PM,07:10 PM,Braves at Mets,Citi Field,"Local TV: WPIX ----- Local Radio: WEPN 1050 -- 710 WOR",04/19/14,04/19/14,10:10 PM,10:10 PM,FALSE,TRUE,04/19/14,06:10 PM,06:10 PM,FREE,BUSY
