START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,01:05 PM,01:05 PM,Blue Jays at Phillies,Bright House Field,"Local TV: CSN -- MLBN ----- Local Radio: 94 WIP -- 1210 WPHT",02/26/14,02/26/14,04:05 PM,04:05 PM,FALSE,TRUE,02/26/14,12:05 PM,12:05 PM,FREE,BUSY
02/28/14,01:05 PM,01:05 PM,Tigers at Phillies,Bright House Field,"Local TV: TCN",02/28/14,02/28/14,04:05 PM,04:05 PM,FALSE,TRUE,02/28/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Pirates at Phillies,Bright House Field,"Local TV: CSN ----- Local Radio: 94 WIP -- 1210 WPHT",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/04/14,06:35 PM,06:35 PM,Blue Jays at Phillies,Bright House Field,"Local TV: TCN ----- Local Radio: 94 WIP -- 1210 WPHT",03/04/14,03/04/14,09:35 PM,09:35 PM,FALSE,TRUE,03/04/14,05:35 PM,05:35 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Braves at Phillies,Bright House Field,"Local TV: TCN -- MLBN",03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/06/14,01:05 PM,01:05 PM,Yankees at Phillies,Bright House Field,"Local TV: TCN -- MLBN",03/06/14,03/06/14,04:05 PM,04:05 PM,FALSE,TRUE,03/06/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Astros at Phillies,Bright House Field,"Local TV: TCN ----- Local Radio: 94 WIP -- 1210 WPHT",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/10/14,01:05 PM,01:05 PM,Braves at Phillies,Bright House Field,"Local TV: MLBN (delay) -- CSN",03/10/14,03/10/14,04:05 PM,04:05 PM,FALSE,TRUE,03/10/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Yankees at Phillies,Bright House Field,"Local TV: TCN",03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Pirates at Phillies,Bright House Field,"Local TV: MLBN -- CSN ----- Local Radio: 94 WIP -- 1210 WPHT",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
