START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/28/14,12:05 PM,03:05 PM,Mariners at Padres,Peoria Stadium,"Local Radio: MLB.com",02/28/14,02/28/14,03:05 PM,06:05 PM,FALSE,TRUE,02/28/14,11:05 AM,02:05 PM,FREE,BUSY
03/02/14,12:05 PM,03:05 PM,Reds at Padres,Peoria Stadium,"Local Radio: XPRS 1090",03/02/14,03/02/14,03:05 PM,06:05 PM,FALSE,TRUE,03/02/14,11:05 AM,02:05 PM,FREE,BUSY
03/04/14,12:05 PM,03:05 PM,D-backs at Padres,Peoria Stadium,"Local Radio: MLB.com",03/04/14,03/04/14,03:05 PM,06:05 PM,FALSE,TRUE,03/04/14,11:05 AM,02:05 PM,FREE,BUSY
03/06/14,12:05 PM,03:05 PM,Rangers at Padres,Peoria Stadium,"Local TV: FSSD -- MLBN (delay)",03/06/14,03/06/14,03:05 PM,06:05 PM,FALSE,TRUE,03/06/14,11:05 AM,02:05 PM,FREE,BUSY
03/08/14,12:05 PM,03:05 PM,Indians at Padres,Peoria Stadium,"Local TV: FSSD ----- Local Radio: XPRS 1090",03/08/14,03/08/14,03:05 PM,06:05 PM,FALSE,TRUE,03/08/14,11:05 AM,02:05 PM,FREE,BUSY
03/11/14,01:05 PM,04:05 PM,Athletics at Padres,Peoria Stadium,"Local Radio: MLB.com",03/11/14,03/11/14,04:05 PM,07:05 PM,FALSE,TRUE,03/11/14,12:05 PM,03:05 PM,FREE,BUSY
03/13/14,01:05 PM,04:05 PM,Brewers at Padres,Peoria Stadium,"Local TV: FSSD",03/13/14,03/13/14,04:05 PM,07:05 PM,FALSE,TRUE,03/13/14,12:05 PM,03:05 PM,FREE,BUSY
03/14/14,01:05 PM,04:05 PM,Angels at Padres,Peoria Stadium,"Local TV: FSSD",03/14/14,03/14/14,04:05 PM,07:05 PM,FALSE,TRUE,03/14/14,12:05 PM,03:05 PM,FREE,BUSY
03/16/14,01:05 PM,04:05 PM,Royals at Padres,Peoria Stadium,"Local Radio: XPRS 1090",03/16/14,03/16/14,04:05 PM,07:05 PM,FALSE,TRUE,03/16/14,12:05 PM,03:05 PM,FREE,BUSY
03/17/14,01:05 PM,04:05 PM,Rockies at Padres,Peoria Stadium,"Local Radio: MLB.com",03/17/14,03/17/14,04:05 PM,07:05 PM,FALSE,TRUE,03/17/14,12:05 PM,03:05 PM,FREE,BUSY
03/20/14,07:05 PM,10:05 PM,Giants at Padres,Peoria Stadium,"Local TV: MLBN -- FSSD ----- Local Radio: XPRS 1090",03/20/14,03/21/14,10:05 PM,01:05 AM,FALSE,TRUE,03/20/14,06:05 PM,09:05 PM,FREE,BUSY
03/22/14,01:05 PM,04:05 PM,White Sox at Padres,Peoria Stadium,"Local Radio: XPRS 1090",03/22/14,03/22/14,04:05 PM,07:05 PM,FALSE,TRUE,03/22/14,12:05 PM,03:05 PM,FREE,BUSY
03/25/14,07:05 PM,10:05 PM,Cubs at Padres,Peoria Stadium,"Local Radio: XPRS 1090",03/25/14,03/26/14,10:05 PM,01:05 AM,FALSE,TRUE,03/25/14,06:05 PM,09:05 PM,FREE,BUSY
03/26/14,12:05 PM,03:05 PM,Royals at Padres,Peoria Stadium,"Local Radio: MLB.com",03/26/14,03/26/14,03:05 PM,06:05 PM,FALSE,TRUE,03/26/14,11:05 AM,02:05 PM,FREE,BUSY
03/28/14,06:10 PM,09:10 PM,Indians at Padres,Fowler Park and Cunningham Field,"Local TV: FSSD ----- Local Radio: XPRS 1090",03/28/14,03/29/14,09:10 PM,12:10 AM,FALSE,TRUE,03/28/14,05:10 PM,08:10 PM,FREE,BUSY
03/29/14,01:10 PM,04:10 PM,Indians at Padres,Fowler Park and Cunningham Field,"Local TV: FSSD -- MLBN ----- Local Radio: XPRS 1090",03/29/14,03/29/14,04:10 PM,07:10 PM,FALSE,TRUE,03/29/14,12:10 PM,03:10 PM,FREE,BUSY
03/30/14,05:05 PM,08:05 PM,Dodgers at Padres,Petco Park,"Local TV: ESPN ----- Local Radio: XEMO 860 -- XPRS 1090",03/30/14,03/30/14,08:05 PM,11:05 PM,FALSE,TRUE,03/30/14,04:05 PM,07:05 PM,FREE,BUSY
04/01/14,03:40 PM,06:40 PM,Dodgers at Padres,Petco Park,"Local TV: FOX Deportes San Diego -- FSSD ----- Local Radio: XEMO 860 -- XPRS 1090",04/01/14,04/01/14,06:40 PM,09:40 PM,FALSE,TRUE,04/01/14,02:40 PM,05:40 PM,FREE,BUSY
04/02/14,07:10 PM,10:10 PM,Dodgers at Padres,Petco Park,"Local TV: FSSD ----- Local Radio: XEMO 860 -- XPRS 1090",04/02/14,04/03/14,10:10 PM,01:10 AM,FALSE,TRUE,04/02/14,06:10 PM,09:10 PM,FREE,BUSY
04/11/14,07:10 PM,10:10 PM,Tigers at Padres,Petco Park,"Local TV: FSSD ----- Local Radio: XEMO 860 -- XPRS 1090",04/11/14,04/12/14,10:10 PM,01:10 AM,FALSE,TRUE,04/11/14,06:10 PM,09:10 PM,FREE,BUSY
04/12/14,05:40 PM,08:40 PM,Tigers at Padres,Petco Park,"Local TV: FOX Deportes San Diego -- FSSD ----- Local Radio: XEMO 860 -- XPRS 1090",04/12/14,04/12/14,08:40 PM,11:40 PM,FALSE,TRUE,04/12/14,04:40 PM,07:40 PM,FREE,BUSY
