START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/26/14,12:05 PM,03:05 PM,Athletics at Giants,Scottsdale Stadium,"Local Radio: KNBR 680",02/26/14,02/26/14,03:05 PM,06:05 PM,FALSE,TRUE,02/26/14,11:05 AM,02:05 PM,FREE,BUSY
02/28/14,12:05 PM,03:05 PM,Brewers at Giants,Scottsdale Stadium,"Local Radio: KNBR 680",02/28/14,02/28/14,03:05 PM,06:05 PM,FALSE,TRUE,02/28/14,11:05 AM,02:05 PM,FREE,BUSY
03/02/14,12:05 PM,03:05 PM,D-backs at Giants,Scottsdale Stadium,"Local Radio: KNBR 680",03/02/14,03/02/14,03:05 PM,06:05 PM,FALSE,TRUE,03/02/14,11:05 AM,02:05 PM,FREE,BUSY
03/03/14,12:05 PM,03:05 PM,Padres at Giants,Scottsdale Stadium,"Local Radio: MLB.com",03/03/14,03/03/14,03:05 PM,06:05 PM,FALSE,TRUE,03/03/14,11:05 AM,02:05 PM,FREE,BUSY
03/05/14,12:05 PM,03:05 PM,Angels at Giants,Scottsdale Stadium,"Local Radio: MLB.com",03/05/14,03/05/14,03:05 PM,06:05 PM,FALSE,TRUE,03/05/14,11:05 AM,02:05 PM,FREE,BUSY
03/06/14,12:05 PM,03:05 PM,Reds at Giants,Scottsdale Stadium,"Local Radio: MLB.com",03/06/14,03/06/14,03:05 PM,06:05 PM,FALSE,TRUE,03/06/14,11:05 AM,02:05 PM,FREE,BUSY
03/08/14,12:05 PM,03:05 PM,Mariners at Giants,Scottsdale Stadium,"Local TV: CSN-BA ----- Local Radio: KNBR 680",03/08/14,03/08/14,03:05 PM,06:05 PM,FALSE,TRUE,03/08/14,11:05 AM,02:05 PM,FREE,BUSY
03/09/14,01:05 PM,04:05 PM,Giants Futures at Giants,Scottsdale Stadium,,03/09/14,03/09/14,04:05 PM,07:05 PM,FALSE,TRUE,03/09/14,12:05 PM,03:05 PM,FREE,BUSY
03/10/14,01:05 PM,04:05 PM,Cubs at Giants,Scottsdale Stadium,"Local Radio: MLB.com",03/10/14,03/10/14,04:05 PM,07:05 PM,FALSE,TRUE,03/10/14,12:05 PM,03:05 PM,FREE,BUSY
03/12/14,01:05 PM,04:05 PM,White Sox at Giants,Scottsdale Stadium,"Local Radio: MLB.com",03/12/14,03/12/14,04:05 PM,07:05 PM,FALSE,TRUE,03/12/14,12:05 PM,03:05 PM,FREE,BUSY
03/14/14,01:05 PM,04:05 PM,Rockies at Giants,Scottsdale Stadium,"Local Radio: MLB.com",03/14/14,03/14/14,04:05 PM,07:05 PM,FALSE,TRUE,03/14/14,12:05 PM,03:05 PM,FREE,BUSY
03/15/14,03:05 PM,06:05 PM,Athletics at Giants,Scottsdale Stadium,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680",03/15/14,03/15/14,06:05 PM,09:05 PM,FALSE,TRUE,03/15/14,02:05 PM,05:05 PM,FREE,BUSY
03/16/14,01:05 PM,04:05 PM,Indians at Giants,Scottsdale Stadium,"Local Radio: KNBR 680",03/16/14,03/16/14,04:05 PM,07:05 PM,FALSE,TRUE,03/16/14,12:05 PM,03:05 PM,FREE,BUSY
03/21/14,06:35 PM,09:35 PM,Athletics at Giants,Scottsdale Stadium,"Local TV: CSN-BA ----- Local Radio: KNBR 680",03/21/14,03/22/14,09:35 PM,12:35 AM,FALSE,TRUE,03/21/14,05:35 PM,08:35 PM,FREE,BUSY
03/23/14,01:05 PM,04:05 PM,Royals at Giants,Scottsdale Stadium,"Local Radio: KNBR 680",03/23/14,03/23/14,04:05 PM,07:05 PM,FALSE,TRUE,03/23/14,12:05 PM,03:05 PM,FREE,BUSY
03/26/14,01:05 PM,04:05 PM,Rockies at Giants,Scottsdale Stadium,"Local Radio: MLB.com",03/26/14,03/26/14,04:05 PM,07:05 PM,FALSE,TRUE,03/26/14,12:05 PM,03:05 PM,FREE,BUSY
03/27/14,07:15 PM,10:15 PM,Athletics at Giants,AT&T Park,"Local TV: MLBN -- NBC Bay Area ----- Local Radio: KNBR 680",03/27/14,03/28/14,10:15 PM,01:15 AM,FALSE,TRUE,03/27/14,06:15 PM,09:15 PM,FREE,BUSY
03/28/14,07:15 PM,10:15 PM,Athletics at Giants,AT&T Park,"Local Radio: KNBR 680",03/28/14,03/29/14,10:15 PM,01:15 AM,FALSE,TRUE,03/28/14,06:15 PM,09:15 PM,FREE,BUSY
04/08/14,01:35 PM,04:35 PM,D-backs at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",04/08/14,04/08/14,04:35 PM,07:35 PM,FALSE,TRUE,04/08/14,12:35 PM,03:35 PM,FREE,BUSY
04/09/14,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",04/09/14,04/10/14,10:15 PM,01:15 AM,FALSE,TRUE,04/09/14,06:15 PM,09:15 PM,FREE,BUSY
04/10/14,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",04/10/14,04/11/14,10:15 PM,01:15 AM,FALSE,TRUE,04/10/14,06:15 PM,09:15 PM,FREE,BUSY
04/11/14,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680 -- KTRB 860",04/11/14,04/12/14,10:15 PM,01:15 AM,FALSE,TRUE,04/11/14,06:15 PM,09:15 PM,FREE,BUSY
04/12/14,01:05 PM,04:05 PM,Rockies at Giants,AT&T Park,"Local TV: MLBN -- CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",04/12/14,04/12/14,04:05 PM,07:05 PM,FALSE,TRUE,04/12/14,12:05 PM,03:05 PM,FREE,BUSY
04/13/14,01:05 PM,04:05 PM,Rockies at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/13/14,04/13/14,04:05 PM,07:05 PM,FALSE,TRUE,04/13/14,12:05 PM,03:05 PM,FREE,BUSY
04/15/14,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/15/14,04/16/14,10:15 PM,01:15 AM,FALSE,TRUE,04/15/14,06:15 PM,09:15 PM,FREE,BUSY
04/16/14,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680 -- KTRB 860",04/16/14,04/17/14,10:15 PM,01:15 AM,FALSE,TRUE,04/16/14,06:15 PM,09:15 PM,FREE,BUSY
04/17/14,12:45 PM,03:45 PM,Dodgers at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/17/14,04/17/14,03:45 PM,06:45 PM,FALSE,TRUE,04/17/14,11:45 AM,02:45 PM,FREE,BUSY
04/25/14,07:15 PM,10:15 PM,Indians at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/25/14,04/26/14,10:15 PM,01:15 AM,FALSE,TRUE,04/25/14,06:15 PM,09:15 PM,FREE,BUSY
04/26/14,01:05 PM,04:05 PM,Indians at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/26/14,04/26/14,04:05 PM,07:05 PM,FALSE,TRUE,04/26/14,12:05 PM,03:05 PM,FREE,BUSY
04/27/14,01:05 PM,04:05 PM,Indians at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/27/14,04/27/14,04:05 PM,07:05 PM,FALSE,TRUE,04/27/14,12:05 PM,03:05 PM,FREE,BUSY
04/28/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/28/14,04/29/14,10:15 PM,01:15 AM,FALSE,TRUE,04/28/14,06:15 PM,09:15 PM,FREE,BUSY
04/29/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,"Local TV: CSN-BA+ ----- Local Radio: KNBR 680 -- KTRB 860",04/29/14,04/30/14,10:15 PM,01:15 AM,FALSE,TRUE,04/29/14,06:15 PM,09:15 PM,FREE,BUSY
04/30/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",04/30/14,05/01/14,10:15 PM,01:15 AM,FALSE,TRUE,04/30/14,06:15 PM,09:15 PM,FREE,BUSY
05/12/14,07:15 PM,10:15 PM,Braves at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/12/14,05/13/14,10:15 PM,01:15 AM,FALSE,TRUE,05/12/14,06:15 PM,09:15 PM,FREE,BUSY
05/13/14,07:15 PM,10:15 PM,Braves at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/13/14,05/14/14,10:15 PM,01:15 AM,FALSE,TRUE,05/13/14,06:15 PM,09:15 PM,FREE,BUSY
05/14/14,12:45 PM,03:45 PM,Braves at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/14/14,05/14/14,03:45 PM,06:45 PM,FALSE,TRUE,05/14/14,11:45 AM,02:45 PM,FREE,BUSY
05/15/14,07:15 PM,10:15 PM,Marlins at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/15/14,05/16/14,10:15 PM,01:15 AM,FALSE,TRUE,05/15/14,06:15 PM,09:15 PM,FREE,BUSY
05/16/14,07:15 PM,10:15 PM,Marlins at Giants,AT&T Park,"Local TV: NBC Bay Area ----- Local Radio: KTRB 860 -- KNBR 680",05/16/14,05/17/14,10:15 PM,01:15 AM,FALSE,TRUE,05/16/14,06:15 PM,09:15 PM,FREE,BUSY
05/17/14,06:05 PM,09:05 PM,Marlins at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/17/14,05/18/14,09:05 PM,12:05 AM,FALSE,TRUE,05/17/14,05:05 PM,08:05 PM,FREE,BUSY
05/18/14,01:05 PM,04:05 PM,Marlins at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/18/14,05/18/14,04:05 PM,07:05 PM,FALSE,TRUE,05/18/14,12:05 PM,03:05 PM,FREE,BUSY
05/23/14,07:15 PM,10:15 PM,Twins at Giants,AT&T Park,"Local TV: NBC Bay Area ----- Local Radio: KTRB 860 -- KNBR 680",05/23/14,05/24/14,10:15 PM,01:15 AM,FALSE,TRUE,05/23/14,06:15 PM,09:15 PM,FREE,BUSY
05/24/14,07:05 PM,10:05 PM,Twins at Giants,AT&T Park,"Local TV: CSN-BA -- MLBN ----- Local Radio: KTRB 860 -- KNBR 680",05/24/14,05/25/14,10:05 PM,01:05 AM,FALSE,TRUE,05/24/14,06:05 PM,09:05 PM,FREE,BUSY
05/25/14,01:05 PM,04:05 PM,Twins at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",05/25/14,05/25/14,04:05 PM,07:05 PM,FALSE,TRUE,05/25/14,12:05 PM,03:05 PM,FREE,BUSY
05/26/14,01:05 PM,04:05 PM,Cubs at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/26/14,05/26/14,04:05 PM,07:05 PM,FALSE,TRUE,05/26/14,12:05 PM,03:05 PM,FREE,BUSY
05/27/14,07:15 PM,10:15 PM,Cubs at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",05/27/14,05/28/14,10:15 PM,01:15 AM,FALSE,TRUE,05/27/14,06:15 PM,09:15 PM,FREE,BUSY
05/28/14,12:45 PM,03:45 PM,Cubs at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",05/28/14,05/28/14,03:45 PM,06:45 PM,FALSE,TRUE,05/28/14,11:45 AM,02:45 PM,FREE,BUSY
06/06/14,07:15 PM,10:15 PM,Mets at Giants,AT&T Park,"Local TV: NBC Bay Area ----- Local Radio: KTRB 860 -- KNBR 680",06/06/14,06/07/14,10:15 PM,01:15 AM,FALSE,TRUE,06/06/14,06:15 PM,09:15 PM,FREE,BUSY
06/07/14,07:05 PM,10:05 PM,Mets at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",06/07/14,06/08/14,10:05 PM,01:05 AM,FALSE,TRUE,06/07/14,06:05 PM,09:05 PM,FREE,BUSY
06/08/14,01:05 PM,04:05 PM,Mets at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",06/08/14,06/08/14,04:05 PM,07:05 PM,FALSE,TRUE,06/08/14,12:05 PM,03:05 PM,FREE,BUSY
06/09/14,07:15 PM,10:15 PM,Nationals at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",06/09/14,06/10/14,10:15 PM,01:15 AM,FALSE,TRUE,06/09/14,06:15 PM,09:15 PM,FREE,BUSY
06/10/14,07:15 PM,10:15 PM,Nationals at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",06/10/14,06/11/14,10:15 PM,01:15 AM,FALSE,TRUE,06/10/14,06:15 PM,09:15 PM,FREE,BUSY
06/11/14,07:15 PM,10:15 PM,Nationals at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",06/11/14,06/12/14,10:15 PM,01:15 AM,FALSE,TRUE,06/11/14,06:15 PM,09:15 PM,FREE,BUSY
06/12/14,12:45 PM,03:45 PM,Nationals at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",06/12/14,06/12/14,03:45 PM,06:45 PM,FALSE,TRUE,06/12/14,11:45 AM,02:45 PM,FREE,BUSY
06/13/14,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",06/13/14,06/14/14,10:15 PM,01:15 AM,FALSE,TRUE,06/13/14,06:15 PM,09:15 PM,FREE,BUSY
06/14/14,01:05 PM,04:05 PM,Rockies at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",06/14/14,06/14/14,04:05 PM,07:05 PM,FALSE,TRUE,06/14/14,12:05 PM,03:05 PM,FREE,BUSY
06/15/14,01:05 PM,04:05 PM,Rockies at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",06/15/14,06/15/14,04:05 PM,07:05 PM,FALSE,TRUE,06/15/14,12:05 PM,03:05 PM,FREE,BUSY
06/23/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",06/23/14,06/24/14,10:15 PM,01:15 AM,FALSE,TRUE,06/23/14,06:15 PM,09:15 PM,FREE,BUSY
06/24/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",06/24/14,06/25/14,10:15 PM,01:15 AM,FALSE,TRUE,06/24/14,06:15 PM,09:15 PM,FREE,BUSY
06/25/14,12:45 PM,03:45 PM,Padres at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",06/25/14,06/25/14,03:45 PM,06:45 PM,FALSE,TRUE,06/25/14,11:45 AM,02:45 PM,FREE,BUSY
06/26/14,07:15 PM,10:15 PM,Reds at Giants,AT&T Park,"Local TV: NBC Bay Area -- MLBN ----- Local Radio: KNBR 680 -- KTRB 860",06/26/14,06/27/14,10:15 PM,01:15 AM,FALSE,TRUE,06/26/14,06:15 PM,09:15 PM,FREE,BUSY
06/27/14,07:15 PM,10:15 PM,Reds at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",06/27/14,06/28/14,10:15 PM,01:15 AM,FALSE,TRUE,06/27/14,06:15 PM,09:15 PM,FREE,BUSY
06/28/14,07:05 PM,10:05 PM,Reds at Giants,AT&T Park,"Local TV: MLBN -- CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",06/28/14,06/29/14,10:05 PM,01:05 AM,FALSE,TRUE,06/28/14,06:05 PM,09:05 PM,FREE,BUSY
06/29/14,01:05 PM,04:05 PM,Reds at Giants,AT&T Park,"Local TV: CSN-BA -- MLBN ----- Local Radio: KNBR 680 -- KTRB 860",06/29/14,06/29/14,04:05 PM,07:05 PM,FALSE,TRUE,06/29/14,12:05 PM,03:05 PM,FREE,BUSY
07/01/14,07:15 PM,10:15 PM,Cardinals at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",07/01/14,07/02/14,10:15 PM,01:15 AM,FALSE,TRUE,07/01/14,06:15 PM,09:15 PM,FREE,BUSY
07/02/14,07:15 PM,10:15 PM,Cardinals at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",07/02/14,07/03/14,10:15 PM,01:15 AM,FALSE,TRUE,07/02/14,06:15 PM,09:15 PM,FREE,BUSY
07/03/14,12:45 PM,03:45 PM,Cardinals at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",07/03/14,07/03/14,03:45 PM,06:45 PM,FALSE,TRUE,07/03/14,11:45 AM,02:45 PM,FREE,BUSY
07/09/14,07:15 PM,10:15 PM,Athletics at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KTRB 860 -- KNBR 680",07/09/14,07/10/14,10:15 PM,01:15 AM,FALSE,TRUE,07/09/14,06:15 PM,09:15 PM,FREE,BUSY
07/10/14,12:45 PM,03:45 PM,Athletics at Giants,AT&T Park,"Local TV: CSN-BA ----- Local Radio: KNBR 680 -- KTRB 860",07/10/14,07/10/14,03:45 PM,06:45 PM,FALSE,TRUE,07/10/14,11:45 AM,02:45 PM,FREE,BUSY
07/11/14,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park,"Local TV: NBC Bay Area ----- Local Radio: KTRB 860 -- KNBR 680",07/11/14,07/12/14,10:15 PM,01:15 AM,FALSE,TRUE,07/11/14,06:15 PM,09:15 PM,FREE,BUSY
