START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/28/14,12:05 PM,01:05 PM,Marlins at Cardinals,Roger Dean Stadium,"Local TV: FS-M -- MLBN ----- Local Radio: KMOX 1120 -- CRN",02/28/14,02/28/14,03:05 PM,04:05 PM,FALSE,TRUE,02/28/14,11:05 AM,12:05 PM,FREE,BUSY
03/02/14,12:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Stadium,"Local TV: FS-M ----- Local Radio: CRN -- KMOX 1120",03/02/14,03/02/14,03:05 PM,04:05 PM,FALSE,TRUE,03/02/14,11:05 AM,12:05 PM,FREE,BUSY
03/05/14,12:05 PM,01:05 PM,Red Sox at Cardinals,Roger Dean Stadium,"Local TV: FS-M ----- Local Radio: KMOX 1120 -- CRN",03/05/14,03/05/14,03:05 PM,04:05 PM,FALSE,TRUE,03/05/14,11:05 AM,12:05 PM,FREE,BUSY
03/07/14,12:05 PM,01:05 PM,Marlins at Cardinals,Roger Dean Stadium,"Local TV: FS-M+ ----- Local Radio: KMOX 1120",03/07/14,03/07/14,03:05 PM,04:05 PM,FALSE,TRUE,03/07/14,11:05 AM,12:05 PM,FREE,BUSY
03/08/14,12:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Stadium,"Local Radio: CRN -- KMOX 1120",03/08/14,03/08/14,03:05 PM,04:05 PM,FALSE,TRUE,03/08/14,11:05 AM,12:05 PM,FREE,BUSY
03/10/14,12:05 PM,01:05 PM,Tigers at Cardinals,Roger Dean Stadium,"Local TV: FS-M",03/10/14,03/10/14,03:05 PM,04:05 PM,FALSE,TRUE,03/10/14,11:05 AM,12:05 PM,FREE,BUSY
03/11/14,12:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Stadium,"Local TV: FS-M -- MLBN ----- Local Radio: KMOX 1120 -- CRN",03/11/14,03/11/14,03:05 PM,04:05 PM,FALSE,TRUE,03/11/14,11:05 AM,12:05 PM,FREE,BUSY
03/13/14,12:05 PM,01:05 PM,Braves at Cardinals,Roger Dean Stadium,"Local TV: FS-M ----- Local Radio: KMOX 1120 -- CRN",03/13/14,03/13/14,03:05 PM,04:05 PM,FALSE,TRUE,03/13/14,11:05 AM,12:05 PM,FREE,BUSY
03/16/14,12:05 PM,01:05 PM,Mets at Cardinals,Roger Dean Stadium,"Local TV: FS-M+ ----- Local Radio: CRN -- KMOX 1120",03/16/14,03/16/14,03:05 PM,04:05 PM,FALSE,TRUE,03/16/14,11:05 AM,12:05 PM,FREE,BUSY
03/19/14,12:05 PM,01:05 PM,Twins at Cardinals,Roger Dean Stadium,"Local TV: MLBN -- FS-M",03/19/14,03/19/14,03:05 PM,04:05 PM,FALSE,TRUE,03/19/14,11:05 AM,12:05 PM,FREE,BUSY
03/21/14,12:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Stadium,"Local TV: FS-M ----- Local Radio: CRN -- KMOX 1120",03/21/14,03/21/14,03:05 PM,04:05 PM,FALSE,TRUE,03/21/14,11:05 AM,12:05 PM,FREE,BUSY
03/23/14,12:05 PM,01:05 PM,Astros at Cardinals,Roger Dean Stadium,"Local Radio: CRN -- KMOX 1120",03/23/14,03/23/14,03:05 PM,04:05 PM,FALSE,TRUE,03/23/14,11:05 AM,12:05 PM,FREE,BUSY
03/26/14,12:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Stadium,"Local TV: FS-M -- ESPN ----- Local Radio: CRN -- KMOX 1120",03/26/14,03/26/14,03:05 PM,04:05 PM,FALSE,TRUE,03/26/14,11:05 AM,12:05 PM,FREE,BUSY
03/27/14,12:05 PM,01:05 PM,Marlins at Cardinals,Roger Dean Stadium,"Local TV: FS-M",03/27/14,03/27/14,03:05 PM,04:05 PM,FALSE,TRUE,03/27/14,11:05 AM,12:05 PM,FREE,BUSY
04/07/14,03:15 PM,04:15 PM,Reds at Cardinals,Busch Stadium,"Local TV: FS-M -- MLBN ----- Local Radio: KMOX 1120",04/07/14,04/07/14,06:15 PM,07:15 PM,FALSE,TRUE,04/07/14,02:15 PM,03:15 PM,FREE,BUSY
04/08/14,07:15 PM,08:15 PM,Reds at Cardinals,Busch Stadium,"Local TV: FS1 ----- Local Radio: KMOX 1120",04/08/14,04/08/14,10:15 PM,11:15 PM,FALSE,TRUE,04/08/14,06:15 PM,07:15 PM,FREE,BUSY
04/09/14,12:45 PM,01:45 PM,Reds at Cardinals,Busch Stadium,"Local TV: FS-M ----- Local Radio: KMOX 1120",04/09/14,04/09/14,03:45 PM,04:45 PM,FALSE,TRUE,04/09/14,11:45 AM,12:45 PM,FREE,BUSY
