START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/01/14,01:05 PM,01:05 PM,Braves at Nationals,Space Coast Stadium,,03/01/14,03/01/14,04:05 PM,04:05 PM,FALSE,TRUE,03/01/14,12:05 PM,12:05 PM,FREE,BUSY
03/02/14,01:05 PM,01:05 PM,Marlins at Nationals,Space Coast Stadium,"Local TV: MASN ----- Local Radio: WJFK 1580 AM",03/02/14,03/02/14,04:05 PM,04:05 PM,FALSE,TRUE,03/02/14,12:05 PM,12:05 PM,FREE,BUSY
03/05/14,01:05 PM,01:05 PM,Mets at Nationals,Space Coast Stadium,,03/05/14,03/05/14,04:05 PM,04:05 PM,FALSE,TRUE,03/05/14,12:05 PM,12:05 PM,FREE,BUSY
03/07/14,01:05 PM,01:05 PM,Astros at Nationals,Space Coast Stadium,"Local Radio: WFED 1500 -- WJFK 1580 AM",03/07/14,03/07/14,04:05 PM,04:05 PM,FALSE,TRUE,03/07/14,12:05 PM,12:05 PM,FREE,BUSY
03/08/14,01:05 PM,01:05 PM,Braves at Nationals,Space Coast Stadium,"Local Radio: WJFK 1580 AM -- WFED 1500",03/08/14,03/08/14,04:05 PM,04:05 PM,FALSE,TRUE,03/08/14,12:05 PM,12:05 PM,FREE,BUSY
03/09/14,01:05 PM,01:05 PM,Cardinals at Nationals,Space Coast Stadium,"Local TV: MLBN -- MASN ----- Local Radio: 106.7 The Fan -- WFED 1500",03/09/14,03/09/14,04:05 PM,04:05 PM,FALSE,TRUE,03/09/14,12:05 PM,12:05 PM,FREE,BUSY
03/10/14,06:05 PM,06:05 PM,Astros at Nationals,Space Coast Stadium,"Local Radio: WJFK 1580 AM",03/10/14,03/10/14,09:05 PM,09:05 PM,FALSE,TRUE,03/10/14,05:05 PM,05:05 PM,FREE,BUSY
03/11/14,01:05 PM,01:05 PM,Yankees at Nationals,Space Coast Stadium,"Local TV: MASN -- MLBN (delay)",03/11/14,03/11/14,04:05 PM,04:05 PM,FALSE,TRUE,03/11/14,12:05 PM,12:05 PM,FREE,BUSY
03/13/14,01:05 PM,01:05 PM,Mets at Nationals,Space Coast Stadium,,03/13/14,03/13/14,04:05 PM,04:05 PM,FALSE,TRUE,03/13/14,12:05 PM,12:05 PM,FREE,BUSY
03/16/14,01:05 PM,01:05 PM,Tigers at Nationals,Space Coast Stadium,"Local TV: MASN",03/16/14,03/16/14,04:05 PM,04:05 PM,FALSE,TRUE,03/16/14,12:05 PM,12:05 PM,FREE,BUSY
