Expt,Run,Speed
1,1,850
1,2,740
1,3,900
1,4,1070
1,5,930
1,6,850
1,7,950
1,8,980
1,9,980
1,10,880
1,11,1000
1,12,980
1,13,930
1,14,650
1,15,760
1,16,810
1,17,1000
1,18,1000
1,19,960
1,20,960
2,1,960
2,2,940
2,3,960
2,4,940
2,5,880
2,6,800
2,7,850
2,8,880
2,9,900
2,10,840
2,11,830
2,12,790
2,13,810
2,14,880
2,15,880
2,16,830
2,17,800
2,18,790
2,19,760
2,20,800
3,1,880
3,2,880
3,3,880
3,4,860
3,5,720
3,6,720
3,7,620
3,8,860
3,9,970
3,10,950
3,11,880
3,12,910
3,13,850
3,14,870
3,15,840
3,16,840
3,17,850
3,18,840
3,19,840
3,20,840
4,1,890
4,2,810
4,3,810
4,4,820
4,5,800
4,6,770
4,7,760
4,8,740
4,9,750
4,10,760
4,11,910
4,12,920
4,13,890
4,14,860
4,15,880
4,16,720
4,17,840
4,18,850
4,19,850
4,20,780
5,1,890
5,2,840
5,3,780
5,4,810
5,5,760
5,6,810
5,7,790
5,8,810
5,9,820
5,10,850
5,11,870
5,12,870
5,13,810
5,14,740
5,15,810
5,16,940
5,17,950
5,18,800
5,19,810
5,20,870
6,1,990
6,2,840
6,3,670
6,4,1270
6,5,950
6,6,520
6,7,810
6,8,750
6,9,780
6,10,900
6,11,620
6,12,930
6,13,1030
6,14,640
6,15,750
6,16,740
6,17,970
6,18,540
6,19,750
6,20,450
7,1,790
7,2,450
7,3,1030
7,4,750
7,5,540
7,6,750
7,7,970
7,8,1020
7,9,450
7,10,460
7,11,860
7,12,560
7,13,830
7,14,960
7,15,560
7,16,970
7,17,1000
7,18,670
7,19,560
7,20,460
8,1,880
8,2,880
8,3,880
8,4,860
8,5,720
8,6,720
8,7,620
8,8,860
8,9,970
8,10,950
8,11,880
8,12,910
8,13,850
8,14,870
8,15,840
8,16,840
8,17,850
8,18,840
8,19,840
8,20,840
9,1,890
9,2,840
9,3,780
9,4,810
9,5,760
9,6,810
9,7,790
9,8,810
9,9,820
9,10,850
9,11,870
9,12,870
9,13,810
9,14,740
9,15,810
9,16,940
9,17,950
9,18,800
9,19,810
9,20,870
10,1,890
10,2,810
10,3,810
10,4,820
10,5,800
10,6,770
10,7,760
10,8,740
10,9,750
10,10,760
10,11,910
10,12,920
10,13,890
10,14,860
10,15,880
10,16,720
10,17,840
10,18,850
10,19,850
10,20,780
